BJD - 2454833, Corrected Flux
2384.830883861, 0.995203581,
2384.851316163, 1.013713404,
2384.871748365, 0.990120640,
2384.912612767, 1.006360900,
2384.933044968, 1.053693448,
2384.953477268, 1.010684913,
2384.973909368, 1.000055232,
2384.994341567, 1.044635508,
2385.014773865, 0.995778570,
2385.035206064, 0.980913388,
2385.055638161, 1.007802270,
2385.076070459, 0.987361763,
2385.096502656, 1.038955070,
2385.116934852, 1.012903537,
2385.137367048, 0.992686691,
2385.157799244, 1.007867959,
2385.178231439, 0.995999558,
2385.198663634, 0.992910217,
2385.219095828, 0.998728466,
2385.239528022, 0.947657769,
2385.259960215, 1.007167030,
2385.280392408, 1.019207005,
2385.300824601, 1.030408935,
2385.321256793, 1.008735602,
2385.341689084, 0.988382713,
2385.362121176, 0.996023531,
2385.382553367, 1.019315844,
2385.402985657, 1.019182424,
2385.423417747, 0.974743185,
2385.443849936, 0.992595132,
2385.464282225, 1.013298035,
2385.484714314, 1.015952985,
2385.505146502, 1.002132438,
2385.525578790, 0.992286376,
2385.546010877, 0.974765703,
2385.566443164, 1.027861892,
2385.586875350, 0.998839808,
2385.607307536, 0.967385217,
2385.627739721, 0.984614442,
2385.648171906, 0.992238993,
2385.668604091, 0.993674829,
2385.689036275, 1.004218434,
2385.709468459, 1.028284862,
2385.729900642, 1.012862985,
2385.750332925, 1.002954298,
2385.770765007, 0.981150553,
2385.791197289, 0.995623865,
2385.811629471, 1.018897880,
2385.832061552, 1.011167493,
2385.852493832, 0.993022825,
2385.872926013, 0.978723410,
2385.893358093, 0.982076001,
2385.913790372, 0.995813610,
2385.934222551, 0.994800178,
2385.954654629, 0.971627506,
2385.975086908, 1.004225793,
2385.995518985, 1.004171466,
2386.015951162, 1.044331530,
2386.036383439, 1.000611881,
2386.056815515, 1.009015690,
2386.077247791, 0.997145934,
2386.097679966, 0.999111204,
2386.138544316, 0.999188933,
2386.158976490, 0.993651244,
2386.179408664, 1.005759128,
2386.199840837, 0.999475586,
2386.220273010, 0.984288903,
2386.240705182, 0.984104170,
2386.261137454, 0.993689746,
2386.281569526, 1.014233067,
2386.302001697, 0.993373206,
2386.322433968, 0.993501662,
2386.342866037, 1.008492388,
2386.383730477, 0.980257586,
2386.404162545, 0.993487077,
2386.424594814, 0.999771788,
2386.445026982, 0.992732557,
2386.465459050, 0.984405559,
2386.485891317, 0.983295462,
2386.506323484, 1.003889128,
2386.526755550, 1.000653602,
2386.547187816, 0.970859323,
2386.567619981, 0.990844267,
2386.588052147, 0.983212933,
2386.608484311, 0.987401134,
2386.628916475, 0.995033146,
2386.649348739, 0.976609402,
2386.669780802, 0.984606770,
2386.690212965, 0.994996273,
2386.710645128, 1.001320527,
2386.731077290, 0.997745106,
2386.751509451, 0.988281377,
2386.771941612, 0.962599132,
2386.792373773, 0.969051507,
2386.812805933, 0.999407259,
2386.833238193, 0.960222544,
2386.853670253, 0.992477311,
2386.874102411, 0.984524215,
2386.894534670, 1.026114907,
2386.914966729, 0.991976631,
2386.935398886, 1.014509467,
2386.955831143, 1.010014004,
2386.976263200, 0.980481316,
2386.996695457, 1.011032121,
2387.017127613, 0.951393004,
2387.037559668, 0.986604002,
2387.057991923, 0.969666498,
2387.078424078, 1.011530884,
2387.098856232, 0.999858848,
2387.119288386, 0.980850929,
2387.139720540, 0.968778237,
2387.160152692, 0.997624148,
2387.180584845, 0.987322621,
2387.201016997, 1.000883727,
2387.221449149, 0.982182136,
2387.241881401, 1.035548379,
2387.262313451, 1.032286413,
2387.282745602, 0.994667829,
2387.303177852, 1.008537891,
2387.323609901, 0.983821991,
2387.344042151, 0.972451618,
2387.364474299, 0.973215102,
2387.384906348, 1.026046567,
2387.405338595, 0.967496987,
2387.425770643, 0.993842627,
2387.446202790, 1.040270498,
2387.466635037, 1.020140447,
2387.487067083, 0.962328560,
2387.507499229, 0.970032917,
2387.527931474, 1.016402414,
2387.548363519, 0.991551767,
2387.568795664, 0.969288215,
2387.609659951, 0.978872841,
2387.630092094, 1.006984467,
2387.650524337, 1.009251891,
2387.670956480, 0.962335522,
2387.691388622, 0.958008682,
2387.711820763, 1.040060772,
2387.732252904, 1.019591320,
2387.752685145, 0.969337035,
2387.773117185, 0.970322143,
2387.793549325, 0.991888447,
2387.813981565, 1.002225964,
2387.834413603, 0.976517087,
2387.854845742, 1.006005363,
2387.875277980, 0.970771384,
2387.895710018, 0.988093865,
2387.916142156, 1.454409982,
2387.936574392, 1.007087611,
2387.957006429, 0.986791772,
2387.977438565, 0.987789444,
2387.997870800, 1.001881632,
2388.018302836, 1.005068497,
2388.038735070, 1.014197749,
2388.059167205, 0.988141432,
2388.079599339, 1.008137022,
2388.100031472, 1.011234338,
2388.120463605, 0.930316824,
2388.140895738, 0.998985520,
