BJD - 2454833, Corrected Flux
2384.830843956, 1.022380741,
2384.851276243, 1.017923812,
2384.871708431, 1.018895684,
2384.912572804, 1.001320099,
2384.933004990, 1.006915110,
2384.953437276, 1.017883718,
2384.973869361, 1.050093374,
2384.994301546, 1.032370123,
2385.014733830, 1.014724705,
2385.035166014, 1.015419664,
2385.055598097, 1.012924421,
2385.076030380, 1.023383422,
2385.096462563, 1.057798955,
2385.116894745, 1.039612199,
2385.137326927, 1.039760979,
2385.157759108, 1.024958884,
2385.178191288, 1.035199398,
2385.198623469, 1.023119828,
2385.219055649, 1.043283016,
2385.239487828, 1.038985708,
2385.259920007, 1.056814643,
2385.280352186, 1.041520548,
2385.300784364, 1.038754589,
2385.321216542, 1.036015446,
2385.341648819, 1.041913806,
2385.362080896, 1.050423530,
2385.382513072, 1.051504376,
2385.402945348, 1.059655200,
2385.423377424, 1.057384995,
2385.443809599, 1.042757715,
2385.464241873, 1.052161073,
2385.484673948, 1.055074352,
2385.505106121, 1.061820852,
2385.525538395, 1.060336605,
2385.545970468, 1.061985713,
2385.566402740, 1.046448647,
2385.586834912, 1.045049700,
2385.607267084, 1.045390958,
2385.627699255, 1.049272484,
2385.648131426, 1.071805577,
2385.668563596, 1.076885839,
2385.688995766, 1.105914310,
2385.709427935, 1.048626995,
2385.729860104, 1.056682398,
2385.750292373, 1.067427183,
2385.770724441, 1.066461492,
2385.791156709, 1.068548739,
2385.811588876, 1.075326040,
2385.832020943, 1.053147541,
2385.852453210, 1.061983464,
2385.872885375, 1.055496484,
2385.893317441, 1.067925105,
2385.913749706, 1.071910355,
2385.934181871, 1.072114973,
2385.954613935, 1.068905177,
2385.975046199, 1.056187143,
2385.995478262, 1.053434392,
2386.015910425, 1.060365924,
2386.036342688, 1.081439290,
2386.056774750, 1.084137932,
2386.077207011, 1.058642413,
2386.097639173, 1.072676510,
2386.138503494, 1.063633830,
2386.158935654, 1.060708334,
2386.179367813, 1.084229751,
2386.199799973, 1.071328233,
2386.220232131, 1.073949489,
2386.240664289, 1.078360502,
2386.261096547, 1.065342865,
2386.281528604, 1.070851372,
2386.301960761, 1.082848705,
2386.322393018, 1.078080696,
2386.342825074, 1.075309522,
2386.383689485, 1.063164199,
2386.404121539, 1.064071069,
2386.424553794, 1.064534850,
2386.444985948, 1.081779180,
2386.465418001, 1.089461646,
2386.485850254, 1.086784490,
2386.506282407, 1.065973552,
2386.526714459, 1.071186323,
2386.547146711, 1.073133161,
2386.567578863, 1.077787924,
2386.588011013, 1.082249582,
2386.608443164, 1.083179099,
2386.628875314, 1.087900765,
2386.649307564, 1.065312108,
2386.669739613, 1.065788943,
2386.690171762, 1.092802573,
2386.710603910, 1.092316595,
2386.731036058, 1.084826182,
2386.751468205, 1.074373206,
2386.771900353, 1.080172761,
2386.792332499, 1.064907593,
2386.812764645, 1.070397159,
2386.833196891, 1.091529841,
2386.853628937, 1.085550556,
2386.874061082, 1.097034758,
2386.894493326, 1.073502372,
2386.914925370, 1.073716851,
2386.935357514, 1.067525846,
2386.955789757, 1.090565941,
2386.976221800, 1.087681462,
2386.996654043, 1.083334678,
2387.017086185, 1.087243332,
2387.037518226, 1.076468947,
2387.057950467, 1.079922936,
2387.078382608, 1.082142657,
2387.098814749, 1.083935551,
2387.119246888, 1.092049493,
2387.139679028, 1.085771180,
2387.160111167, 1.082768769,
2387.180543305, 1.072250230,
2387.200975444, 1.070910341,
2387.221407582, 1.078429376,
2387.241839819, 1.090759392,
2387.262271856, 1.088388233,
2387.282703992, 1.094915751,
2387.303136228, 1.086731344,
2387.323568264, 1.082226683,
2387.344000499, 1.088342428,
2387.364432634, 1.090407401,
2387.384864668, 1.080618933,
2387.405296902, 1.087865846,
2387.425728936, 1.082517869,
2387.446161069, 1.094921371,
2387.466593302, 1.085595439,
2387.487025334, 1.087231851,
2387.507457466, 1.096214052,
2387.527889698, 1.083758324,
2387.548321728, 1.081910280,
2387.568753859, 1.085926263,
2387.609618119, 1.094834636,
2387.630050249, 1.082527582,
2387.650482478, 1.102193730,
2387.670914606, 1.081446125,
2387.691346734, 1.100891370,
2387.711778862, 1.079209092,
2387.732210989, 1.086610169,
2387.752643216, 1.095949337,
2387.773075243, 1.096138349,
2387.793507368, 1.103877561,
2387.813939594, 1.096106450,
2387.834371619, 1.093207464,
2387.854803744, 1.088229978,
2387.875235968, 1.081014787,
2387.895667992, 1.097374450,
2387.916100116, 1.103880530,
2387.936532339, 1.101822970,
2387.956964361, 1.077768187,
2387.977396484, 1.086521713,
2387.997828706, 1.091254377,
2388.018260727, 1.101636676,
2388.038692948, 1.107848145,
2388.059125069, 1.085142500,
2388.079557189, 1.099351925,
2388.099989309, 1.078715764,
2388.120421428, 1.099748254,
2388.140853547, 1.090478612,
2388.161285666, 1.104187095,
2388.181717784, 1.090678249,
2388.202149802, 1.097158217,
2388.222582019, 1.084871159,
2388.243014136, 1.094329552,
2388.263446152, 1.092310372,
2388.283878368, 1.093715029,
2388.304310484, 1.100854558,
2388.365606828, 1.097767771,
2388.386039042, 1.085958752,
2388.406471056, 1.098617320,
2388.426903169, 1.095995733,
2388.447335382, 1.109270780,
2388.467767394, 1.104956682,
2388.488199506, 1.088732652,
2388.508631717, 1.087331933,
2388.529063729, 1.085893394,
2388.549495839, 1.099228288,
2388.569928049, 1.096087857,
2388.590360159, 1.106965688,
2388.610792169, 1.100157474,
2388.631224378, 1.096090293,
2388.651656487, 1.094303546,
2388.672088495, 1.091307074,
2388.692520703, 1.115599770,
2388.712952810, 1.106173092,
2388.733384817, 1.092872468,
2388.753817023, 1.076861477,
2388.774249130, 1.089548612,
2388.794681335, 1.089924741,
2388.815113341, 1.112248240,
2388.835545446, 1.111626142,
2388.855977650, 1.103585631,
2388.876409654, 1.100002298,
2388.896841758, 1.101835905,
2388.917273862, 1.090270728,
2388.937705964, 1.097853342,
2388.958138067, 1.101263415,
2388.978570169, 1.113030729,
2388.999002271, 1.104205684,
2389.019434372, 1.099649078,
2389.039866473, 1.093721151,
2389.060298573, 1.094441005,
2389.080730673, 1.097108130,
2389.101162873, 1.096580136,
2389.121594872, 1.103782165,
2389.142027071, 1.095027576,
2389.162459169, 1.098961793,
2389.182891168, 1.089671107,
2389.203323365, 1.103165447,
