BJD - 2454833, Corrected Flux
2384.831397050, 1.036914329,
2384.851829535, 1.037089252,
2384.872261919, 1.025978935,
2384.913126686, 1.029928822,
2384.933559069, 1.028234447,
2384.953991551, 1.036163535,
2384.974423833, 1.028692228,
2384.994856214, 1.035777346,
2385.015288695, 1.018726031,
2385.035721075, 1.036572451,
2385.056153355, 1.018272475,
2385.076585834, 1.021425281,
2385.097018213, 1.034275216,
2385.117450591, 1.035284145,
2385.137882969, 1.044177741,
2385.158315346, 1.045733146,
2385.178747723, 1.023823962,
2385.199180099, 1.023429881,
2385.219612475, 1.140065359,
2385.240044850, 1.021875730,
2385.260477225, 1.033430532,
2385.280909599, 1.028779742,
2385.301341973, 1.029704394,
2385.321774346, 1.028864415,
2385.342206819, 1.033257308,
2385.362639092, 1.024594282,
2385.383071463, 1.032036209,
2385.403503934, 1.030058955,
2385.423936206, 1.026089717,
2385.444368576, 1.018351432,
2385.464801046, 1.024756895,
2385.485233315, 1.022404715,
2385.505665684, 1.025487688,
2385.526098152, 1.019852935,
2385.546530420, 1.017611265,
2385.566962887, 1.033522525,
2385.587395254, 1.030975569,
2385.607827621, 1.023341351,
2385.628259987, 1.024338773,
2385.648692352, 1.014875794,
2385.669124717, 1.018636405,
2385.689557081, 1.025927202,
2385.709989445, 1.030020412,
2385.730421808, 1.020573579,
2385.750854271, 1.018829611,
2385.771286534, 1.023217600,
2385.791718995, 1.019227074,
2385.812151357, 1.018417177,
2385.832583618, 1.020959890,
2385.853016078, 1.020264177,
2385.873448438, 1.010906035,
2385.893880697, 1.011823675,
2385.914313156, 1.015529199,
2385.934745515, 1.023011577,
2385.955177773, 1.016076445,
2385.975610230, 1.020959433,
2385.996042487, 1.011653988,
2386.016474844, 1.018960221,
2386.036907300, 1.022832852,
2386.057339555, 1.021819740,
2386.077772010, 1.013786021,
2386.098204365, 1.009124918,
2386.139069073, 1.009958224,
2386.159501426, 1.012722953,
2386.179933778, 1.021916632,
2386.200366130, 0.992856957,
2386.220798482, 1.013386122,
2386.241230833, 1.011050272,
2386.261663283, 1.017811400,
2386.282095534, 1.022858869,
2386.302527883, 1.003248496,
2386.322960332, 1.018851942,
2386.343392581, 0.999207087,
2386.384257376, 1.009966420,
2386.404689624, 1.013323484,
2386.425122070, 1.015525031,
2386.445554417, 1.013883983,
2386.465986662, 1.013597535,
2386.486419108, 1.008531996,
2386.506851452, 1.004164982,
2386.527283696, 1.007218606,
2386.547716140, 1.015632779,
2386.568148484, 1.018043205,
2386.588580826, 0.998182326,
2386.609013169, 1.011497534,
2386.629445510, 1.004232655,
2386.649877952, 1.017775180,
2386.670310193, 1.011657874,
2386.690742532, 1.014671221,
2386.711174872, 1.009082922,
2386.731607212, 1.004157073,
2386.752039551, 1.005144818,
2386.772471889, 1.007554183,
2386.792904227, 1.010535320,
2386.813336565, 1.009594870,
2386.833769001, 1.018383262,
2386.854201238, 0.996596561,
2386.874633574, 1.001038402,
2386.895066009, 1.030109830,
2386.915498244, 1.012333168,
2386.935930579, 0.998010338,
2386.956363013, 1.010077360,
2386.976795246, 1.011666391,
2386.997227679, 1.012233325,
2387.017660012, 1.008110080,
2387.038092244, 1.012148214,
2387.058524676, 1.017280897,
2387.078957007, 1.001704708,
2387.099389337, 1.010997224,
2387.119821667, 1.004477057,
2387.140253997, 1.003754818,
2387.160686326, 1.010152121,
2387.181118655, 1.001406524,
2387.201550983, 1.008923569,
2387.221983311, 1.012945556,
2387.242415738, 1.018389162,
2387.262847964, 1.014130138,
2387.283280291, 1.023301190,
2387.303712717, 1.008470673,
2387.324144942, 1.002638788,
2387.344577367, 1.006598908,
2387.365009691, 1.014081846,
2387.385441915, 1.021087458,
2387.405874338, 1.014704979,
2387.426306561, 1.004475530,
2387.446738884, 1.010496296,
2387.467171305, 1.013063740,
2387.487603527, 1.011666762,
2387.508035848, 1.012175098,
2387.528468268, 1.017241237,
2387.548900488, 1.005466287,
2387.569332808, 1.010123819,
2387.610197446, 1.008740942,
2387.630629764, 1.014543014,
2387.651062181, 1.011609738,
2387.671494498, 1.015422752,
2387.691926815, 1.012379273,
2387.712359131, 1.029404618,
2387.732791446, 1.015112504,
2387.753223862, 1.005305022,
2387.773656076, 1.016495122,
2387.794088391, 1.004073745,
2387.814520804, 1.013116661,
2387.834953017, 1.017783230,
2387.855385330, 1.004115300,
2387.875817743, 1.016252281,
2387.896249955, 1.022458027,
2387.916682266, 1.019130491,
2387.937114677, 1.003152376,
2387.957546887, 1.017230001,
2387.977979197, 1.003942725,
2387.998411606, 1.016374513,
2388.018843815, 1.005500648,
2388.039276224, 0.995295166,
2388.059708532, 1.004955762,
2388.080140839, 1.020124518,
2388.100573147, 1.004326055,
2388.121005453, 1.004294820,
2388.141437759, 1.003490748,
2388.161870065, 1.011098217,
2388.182302370, 1.002672775,
2388.202734574, 1.000797406,
2388.223166978, 1.008796832,
2388.243599283, 1.014424344,
2388.264031486, 1.016249788,
2388.284463888, 1.013951447,
2388.304896191, 1.002954437,
2388.366193094, 1.015342351,
2388.386625495, 1.020717012,
2388.407057695, 1.018247243,
2388.427489994, 1.001568306,
2388.447922393, 1.011100663,
2388.468354592, 1.008519583,
2388.488786890, 0.991234626,
2388.509219287, 0.990197936,
2388.529651484, 0.994038613,
2388.550083781, 0.991203926,
2388.570516177, 1.013145549,
2388.590948472, 0.999255787,
2388.611380668, 0.996532600,
2388.631813062, 0.996138934,
2388.652245357, 0.995328943,
2388.672677550, 0.998348695,
2388.693109943, 1.000970560,
2388.713542236, 0.996084872,
2388.733974429, 0.989054259,
2388.754406820, 0.992008088,
2388.774839112, 0.999459216,
2388.795271503, 0.986658040,
2388.815703693, 0.993088686,
2388.836135983, 1.016945088,
2388.856568373, 0.994578439,
2388.877000561, 0.988280695,
2388.897432850, 0.996806100,
2388.917865138, 1.004560755,
2388.938297425, 0.999831223,
2388.958729713, 0.993495393,
2388.979162000, 0.989220798,
2388.999594286, 1.016532936,
2389.020026571, 1.002072117,
2389.040458856, 0.995484501,
2389.060891141, 1.003949328,
2389.081323425, 0.991098858,
2389.101755809, 0.990610712,
2389.122187993, 1.019525807,
2389.142620376, 0.986487110,
2389.163052658, 0.994172656,
2389.183484840, 1.005051702,
2389.203917221, 0.999908502,
2389.224349503, 0.998380020,
2389.244781683, 1.006568454,
2389.265214063, 0.990325888,
2389.285646343, 1.005159898,
2389.306078521, 0.975885126,
2389.326510900, 1.018891730,
2389.346943178, 1.024910639,
2389.367375356, 0.997723738,
2389.387807733, 0.992884473,
2389.408240010, 0.998807396,
2389.428672287, 0.995430737,
2389.449104562, 0.996389461,
2389.469536838, 1.002496164,
2389.489969113, 1.010771618,
2389.510401387, 1.006127759,
2389.530833661, 1.002822801,
2389.551266034, 1.046670928,
2389.571698307, 0.999248449,
2389.592130480, 0.993794516,
2389.612562852, 0.999569635,
2389.632995024, 0.992804154,
2389.653427295, 1.002405083,
2389.673859666, 1.005738710,
2389.694291836, 0.990325835,
2389.714724106, 0.999673856,
2389.735156475, 0.993273588,
2389.755588644, 1.004384301,
2389.776020912, 0.987198138,
2389.796453280, 0.996060879,
2389.816885448, 0.995123247,
2389.837317715, 0.998068514,
2389.857750081, 0.989159485,
2389.878182247, 1.003812967,
2389.898614613, 0.988920867,
2389.919046878, 0.982367458,
2389.939479143, 0.997313083,
2389.959911407, 1.005441380,
2389.980343670, 1.009931315,
2390.000775934, 1.004715229,
2390.021208196, 1.000861663,
2390.041640458, 0.993011844,
2390.062072721, 1.002168689,
2390.082504982, 0.995041000,
