BJD - 2454833, Corrected Flux
2384.831262107, 1.002681850,
2384.851694541, 1.002461965,
2384.872126875, 1.004562285,
2384.912991541, 1.009153833,
2384.933423874, 1.005256810,
2384.953856306, 1.005481195,
2384.974288537, 1.003363973,
2384.994720868, 1.006015275,
2385.015153299, 1.009034115,
2385.035585629, 1.008931615,
2385.056017858, 1.009331022,
2385.076450288, 1.011442040,
2385.096882616, 1.004723965,
2385.117314944, 1.009951795,
2385.137747272, 1.018021757,
2385.158179599, 1.009996232,
2385.178611926, 1.009390113,
2385.199044252, 1.013945257,
2385.219476578, 1.009177221,
2385.239908903, 1.011125061,
2385.260341227, 1.018361402,
2385.280773552, 1.017239963,
2385.301205875, 1.021273496,
2385.321638199, 1.046138817,
2385.342070621, 1.015269943,
2385.362502843, 1.015335167,
2385.382935165, 1.009587188,
2385.403367587, 1.017120697,
2385.423799807, 1.024183471,
2385.444232128, 1.017993271,
2385.464664548, 1.018399367,
2385.485096767, 1.016580747,
2385.505529086, 1.023775130,
2385.525961505, 1.022954666,
2385.546393723, 1.023975319,
2385.566826140, 1.022497423,
2385.587258457, 1.029292497,
2385.607690773, 1.024034579,
2385.628123090, 1.023465923,
2385.648555405, 1.022104610,
2385.668987720, 1.025881546,
2385.689420034, 1.023800507,
2385.709852349, 1.020655568,
2385.730284662, 1.019673810,
2385.750717075, 1.018360305,
2385.771149288, 1.027452612,
2385.791581700, 1.024231429,
2385.812014012, 1.015771135,
2385.832446223, 1.022251078,
2385.852878634, 1.021799251,
2385.873310944, 1.023580095,
2385.893743154, 1.014413931,
2385.914175563, 1.025741650,
2385.934607872, 1.023727868,
2385.955040080, 1.021151572,
2385.975472488, 1.014241545,
2385.995904695, 1.023115328,
2386.016337002, 1.020772832,
2386.036769409, 1.022107538,
2386.057201615, 1.025450665,
2386.077634020, 1.023588954,
2386.098066325, 1.025427999,
2386.138930934, 1.027616885,
2386.159363237, 1.020877685,
2386.179795540, 1.023491814,
2386.200227843, 1.027926205,
2386.220660145, 1.021931013,
2386.241092447, 1.017642720,
2386.261524848, 1.028254300,
2386.281957049, 1.019434260,
2386.302389349, 1.043246200,
2386.322821748, 1.021961806,
2386.343253948, 1.023220272,
2386.384118645, 1.019539840,
2386.404550843, 1.027815710,
2386.424983240, 1.020110625,
2386.445415537, 1.031914212,
2386.465847733, 1.027254047,
2386.486280129, 1.019768764,
2386.506712424, 1.024132604,
2386.527144620, 1.025556263,
2386.547577014, 1.019501601,
2386.568009308, 1.025652386,
2386.588441602, 1.024759706,
2386.608873894, 1.027239349,
2386.629306187, 1.022227913,
2386.649738579, 1.020344445,
2386.670170771, 1.028646542,
2386.690603062, 1.022195279,
2386.711035353, 1.026759712,
2386.731467643, 1.024079493,
2386.751899933, 1.024561619,
2386.772332222, 1.033299305,
2386.792764511, 1.028474525,
2386.813196799, 1.028011733,
2386.833629187, 1.020738707,
2386.854061375, 1.019980224,
2386.874493661, 1.021066662,
2386.894926048, 1.022279528,
2386.915358234, 1.028114437,
2386.935790519, 1.025048659,
2386.956222904, 1.017353266,
2386.976655089, 1.019302243,
2386.997087473, 1.022403679,
2387.017519757, 1.020848775,
2387.037951940, 1.023504167,
2387.058384323, 1.024401627,
2387.078816605, 1.023192986,
2387.099248886, 1.025121356,
2387.119681168, 1.020564141,
2387.140113448, 1.029942575,
2387.160545729, 1.017415014,
2387.180978009, 1.029489746,
