BJD - 2454833, Corrected Flux
2384.830813132, 1.017915153,
2384.851245409, 1.017770279,
2384.871677586, 1.018731281,
2384.912541939, 1.018644892,
2384.932974115, 1.018932991,
2384.953406391, 1.020132713,
2384.973838465, 1.019343002,
2384.994270640, 1.020339061,
2385.014702914, 1.019742277,
2385.035135088, 1.019221279,
2385.055567161, 1.018821887,
2385.075999434, 1.019129049,
2385.096431607, 1.019972594,
2385.116863778, 1.022573505,
2385.137295950, 1.018554615,
2385.157728121, 1.018305552,
2385.178160292, 1.019235023,
2385.198592462, 1.018693353,
2385.219024632, 1.019787317,
2385.239456801, 1.019521712,
2385.259888970, 1.019891391,
2385.280321139, 1.019567341,
2385.300753307, 1.019966264,
2385.321185474, 1.020026083,
2385.341617741, 1.019622216,
2385.362049808, 1.019915432,
2385.382481974, 1.020146508,
2385.402914240, 1.020426410,
2385.423346306, 1.019685004,
2385.443778471, 1.019245785,
2385.464210736, 1.019880548,
2385.484642799, 1.019862420,
2385.505074963, 1.019598598,
2385.525507226, 1.019579815,
2385.545939289, 1.019593115,
2385.566371552, 1.019564058,
2385.586803714, 1.019189425,
2385.607235875, 1.019006615,
2385.627668037, 1.018599651,
2385.648100197, 1.018747647,
2385.668532357, 1.019264309,
2385.688964517, 1.019962683,
2385.709396677, 1.019595845,
2385.729828836, 1.019113159,
2385.750261094, 1.019255945,
2385.770693152, 1.019865172,
2385.791125410, 1.019682937,
2385.811557567, 1.019299531,
2385.831989624, 1.019299566,
2385.852421880, 1.019540549,
2385.872854036, 1.019478250,
2385.893286092, 1.019447400,
2385.913718347, 1.019409946,
2385.934150502, 1.019637556,
2385.954582556, 1.019044246,
2385.975014810, 1.019467628,
2385.995446863, 1.019262585,
2386.015879016, 1.019533065,
2386.036311269, 1.019563732,
2386.056743321, 1.019931078,
2386.077175572, 1.019384084,
2386.097607724, 1.019123852,
2386.138472025, 1.019470479,
2386.158904175, 1.019094172,
2386.179336324, 1.020714211,
2386.199768473, 1.019319181,
2386.220200622, 1.018711566,
2386.240632770, 1.019782579,
2386.261065018, 1.019403736,
2386.281497066, 1.019820937,
2386.301929213, 1.019724313,
2386.322361459, 1.019556479,
2386.342793506, 1.019070365,
2386.383657896, 1.018752165,
2386.404089941, 1.019219593,
2386.424522186, 1.019355043,
2386.444954330, 1.018797559,
2386.465386373, 1.019913063,
2386.485818616, 1.021153229,
2386.506250759, 1.019730195,
2386.526682801, 1.019704000,
2386.547115043, 1.019188891,
2386.567547185, 1.018919990,
2386.587979326, 1.019830993,
2386.608411466, 1.019170986,
2386.628843607, 1.018593153,
2386.649275847, 1.019163007,
2386.669707886, 1.019400712,
2386.690140025, 1.019517489,
2386.710572163, 1.019242966,
2386.731004301, 1.018894435,
2386.751436439, 1.019227820,
2386.771868576, 1.019211261,
2386.792300713, 1.019666451,
2386.812732850, 1.019030588,
2386.833165086, 1.018935942,
2386.853597121, 1.018736923,
2386.874029256, 1.018772487,
2386.894461491, 1.019273741,
2386.914893525, 1.018941357,
2386.935325659, 1.018340377,
2386.955757892, 1.018788547,
2386.976189925, 1.019633607,
2386.996622158, 1.019920737,
2387.017054290, 1.019860151,
2387.037486322, 1.019747212,
2387.057918553, 1.019912408,
2387.078350684, 1.020068205,
2387.098782814, 1.019416451,
2387.119214945, 1.019386001,
2387.139647074, 1.020041955,
2387.160079204, 1.019896479,
2387.180511333, 1.019700170,
2387.200943461, 1.019970745,
2387.221375589, 1.019829168,
2387.241807816, 1.019829494,
2387.262239843, 1.020174190,
2387.282671970, 1.020365595,
2387.303104197, 1.020185020,
2387.323536222, 1.020028771,
2387.343968448, 1.020496554,
2387.364400573, 1.020015738,
2387.384832598, 1.022633901,
2387.405264822, 1.019932513,
2387.425696846, 1.020847437,
2387.446128969, 1.020478987,
2387.466561192, 1.024149680,
2387.486993215, 1.020113163,
2387.507425337, 1.019990883,
2387.527857559, 1.019772874,
2387.548289580, 1.020023548,
2387.568721701, 1.019944936,
2387.609585941, 1.019781028,
2387.630018061, 1.019917909,
2387.650450280, 1.020611756,
2387.670882399, 1.020109699,
2387.691314517, 1.019988589,
2387.711746635, 1.020652187,
2387.732178753, 1.019970641,
2387.752610970, 1.019444173,
2387.773042987, 1.021311562,
2387.793475103, 1.019957771,
2387.813907319, 1.019755260,
2387.834339334, 1.018836683,
2387.854771449, 1.019289074,
2387.875203664, 1.019236788,
2387.895635679, 1.019973877,
2387.916067792, 1.018747273,
2387.936500006, 1.019709567,
2387.956932019, 1.019779471,
2387.977364132, 1.020447146,
2387.997796343, 1.019833416,
2388.018228356, 1.020726960,
2388.038660567, 1.020673733,
2388.059092678, 1.020611387,
2388.079524788, 1.020155962,
2388.099956898, 1.019789294,
2388.120389008, 1.021061472,
