BJD - 2454833, Corrected Flux
2384.831393110, 1.036013450,
2384.851825583, 1.038171257,
2384.872257956, 1.038018830,
2384.913122700, 1.040660288,
2384.933555071, 1.040483418,
2384.953987541, 1.041021386,
2384.974419811, 1.041686894,
2384.994852181, 1.043585856,
2385.015284650, 1.042362501,
2385.035717018, 1.042164215,
2385.056149286, 1.040769536,
2385.076581754, 1.042963564,
2385.097014121, 1.043308728,
2385.117446487, 1.043567513,
2385.137878853, 1.044647910,
2385.158311219, 1.041430215,
2385.178743584, 1.042204157,
2385.199175949, 1.044351324,
2385.219608313, 1.042754301,
2385.240040676, 1.043757586,
2385.260473039, 1.042005681,
2385.280905402, 1.043586832,
2385.301337764, 1.043116493,
2385.321770126, 1.042336163,
2385.342202586, 1.043587503,
2385.362634847, 1.045596964,
2385.383067207, 1.044260328,
2385.403499667, 1.045249302,
2385.423931926, 1.044966331,
2385.444364284, 1.045302001,
2385.464796742, 1.044153399,
2385.485229000, 1.043164092,
2385.505661357, 1.050279890,
2385.526093814, 1.047234811,
2385.546526070, 1.047181591,
2385.566958525, 1.044460660,
2385.587390881, 1.044002198,
2385.607823235, 1.044768388,
2385.628255589, 1.044568815,
2385.648687943, 1.046541871,
2385.669120296, 1.046203018,
2385.689552649, 1.046801258,
2385.709985001, 1.047746257,
2385.730417352, 1.046408132,
2385.750849804, 1.047999776,
2385.771282054, 1.045278614,
2385.791714505, 1.044644287,
2385.812146854, 1.047150266,
2385.832579104, 1.045874647,
2385.853011552, 1.045383481,
2385.873443900, 1.046685032,
2385.893876148, 1.049630739,
2385.914308595, 1.045427782,
2385.934740942, 1.045411568,
2385.955173188, 1.045691806,
2385.975605634, 1.047400799,
2385.996037879, 1.046972417,
2386.016470224, 1.045602725,
2386.036902668, 1.047783758,
2386.057334912, 1.047566617,
2386.077767355, 1.046817986,
2386.098199698, 1.047498029,
2386.139064382, 1.046247733,
2386.159496723, 1.047571580,
2386.179929064, 1.045435738,
2386.200361405, 1.047619119,
2386.220793744, 1.048900013,
2386.241226083, 1.045435418,
2386.261658522, 1.045030423,
2386.282090761, 1.046807627,
2386.302523099, 1.046043469,
2386.322955536, 1.047236243,
2386.343387773, 1.049436805,
2386.384252545, 1.045202402,
2386.404684780, 1.046569263,
2386.425117216, 1.047540386,
2386.445549550, 1.046021498,
2386.465981784, 1.046750732,
2386.486414217, 1.044682031,
2386.506846550, 1.046341966,
2386.527278783, 1.046308767,
2386.547711215, 1.047955848,
2386.568143546, 1.046966594,
2386.588575877, 1.045098742,
2386.609008208, 1.047036946,
2386.629440538, 1.046047467,
2386.649872968, 1.045541999,
2386.670305196, 1.046154507,
2386.690737525, 1.046576263,
2386.711169854, 1.048042064,
2386.731602181, 1.048591322,
2386.752034508, 1.047389467,
2386.772466835, 1.045854278,
2386.792899161, 1.046687503,
2386.813331487, 1.046645046,
2386.833763912, 1.046310720,
2386.854196136, 1.051567331,
2386.874628461, 1.045270131,
2386.895060884, 1.045884876,
2386.915493107, 1.046547499,
2386.935925430, 1.046967985,
2386.956357852, 1.046683642,
2386.976790074, 1.046023733,
2386.997222495, 1.046401956,
2387.017654816, 1.045032088,
2387.038087037, 1.045551294,
2387.058519456, 1.045313290,
2387.078951776, 1.046470021,
2387.099384095, 1.047562867,
2387.119816413, 1.046553778,
2387.140248731, 1.045843133,
2387.160681049, 1.047932109,
2387.181113365, 1.044978600,
2387.201545682, 1.045208744,
2387.221977998, 1.046545740,
2387.242410413, 1.043475789,
2387.262842628, 1.045764618,
2387.283274943, 1.046753007,
2387.303707357, 1.045912218,
2387.324139570, 1.045716690,
2387.344571983, 1.045081509,
2387.365004296, 1.046715793,
2387.385436508, 1.044971821,
2387.405868919, 1.045708854,
2387.426301131, 1.046434639,
2387.446733441, 1.046693439,
2387.467165852, 1.046873688,
2387.487598061, 1.045569494,
2387.508030370, 1.047663655,
2387.528462779, 1.045638174,
2387.548894987, 1.044540990,
2387.569327295, 1.045207518,
2387.610191909, 1.044164373,
2387.630624215, 1.046635343,
2387.651056621, 1.047463147,
2387.671488927, 1.044847196,
2387.691921231, 1.045913971,
2387.712353536, 1.044090700,
2387.732785840, 1.046626080,
2387.753218243, 1.043704549,
2387.773650446, 1.045258533,
2387.794082748, 1.044714825,
2387.814515150, 1.045114702,
2387.834947352, 1.044600876,
2387.855379653, 1.045561904,
2387.875812053, 1.044969670,
2387.896244254, 1.044050043,
2387.916676553, 1.043040023,
2387.937108952, 1.043849779,
2387.957541151, 1.044211232,
2387.977973449, 1.045944506,
2387.998405846, 1.044384101,
2388.018838044, 1.046576059,
2388.039270441, 1.044006337,
2388.059702737, 1.046299534,
2388.080135032, 1.044858889,
2388.100567328, 1.044941479,
2388.120999622, 1.045814838,
2388.141431917, 1.044776173,
2388.161864211, 1.044107348,
2388.182296504, 1.045959278,
2388.202728697, 1.045995987,
2388.223161090, 1.044136469,
2388.243593382, 1.045423648,
2388.264025573, 1.171218033,
2388.284457964, 1.045660392,
2388.304890254, 1.044965472,
2388.366187123, 1.044657096,
2388.386619512, 1.044045220,
2388.407051700, 1.044231657,
2388.427483987, 1.046163945,
2388.447916375, 1.044581830,
2388.468348562, 1.044332936,
2388.488780847, 1.044506137,
2388.509213233, 1.047631509,
2388.529645419, 1.044991148,
2388.550077703, 1.044831004,
2388.570510088, 1.044617994,
2388.590942372, 1.045409074,
2388.611374555, 1.044280797,
2388.631806938, 1.046058617,
2388.652239220, 1.045383301,
2388.672671402, 1.043866639,
2388.693103784, 1.045287782,
2388.713536065, 1.043782236,
2388.733968245, 1.043570273,
2388.754400626, 1.044824304,
2388.774832905, 1.045166269,
2388.795265284, 1.044660517,
2388.815697463, 1.044418720,
2388.836129741, 1.046145727,
2388.856562119, 1.045425752,
2388.876994296, 1.043719997,
2388.897426573, 1.046047626,
2388.917858849, 1.043859442,
2388.938291125, 1.044262241,
2388.958723400, 1.043144754,
2388.979155675, 1.045270488,
2388.999587949, 1.045120568,
2389.020020223, 1.044940827,
2389.040452497, 1.044111946,
2389.060884770, 1.046218879,
2389.081317042, 1.045111211,
2389.101749415, 1.044263536,
2389.122181586, 1.045000300,
2389.142613957, 1.045252738,
2389.163046228, 1.044724602,
2389.183478398, 1.052625668,
2389.203910768, 1.044332775,
2389.224343037, 1.043952726,
2389.244775205, 1.043993178,
2389.265207574, 1.044706046,
2389.285639841, 1.046072293,
2389.306072009, 1.044709440,
2389.326504376, 1.043923488,
2389.346936642, 1.045372140,
2389.367368808, 1.043955489,
2389.387801174, 1.048142233,
2389.408233439, 1.045164171,
2389.428665703, 1.044126334,
2389.449097967, 1.044616828,
2389.469530231, 1.044204809,
2389.489962494, 1.043623659,
2389.510394757, 1.043882261,
2389.530827019, 1.041735460,
2389.551259381, 1.045762735,
2389.571691642, 1.045477792,
2389.592123803, 1.045059445,
2389.612556163, 1.044995775,
2389.632988323, 1.045340590,
2389.653420582, 1.045446616,
2389.673852941, 1.045216036,
2389.694285099, 1.043715432,
2389.714717357, 1.044715443,
2389.735149715, 1.045330576,
2389.755581872, 1.046090420,
2389.776014129, 1.045415046,
2389.796446485, 1.045096315,
2389.816878641, 1.044563653,
2389.837310896, 1.047084668,
2389.857743251, 1.044195220,
2389.878175405, 1.043084467,
2389.898607759, 1.043250283,
