BJD - 2454833, Corrected Flux
2384.830767727, 1.016132412,
2384.851199988, 1.030712493,
2384.871632149, 1.044944742,
2384.912496470, 1.024039804,
2384.932928630, 1.016346329,
2384.953360889, 1.016443568,
2384.973792948, 1.025467537,
2384.994225106, 1.033768954,
2385.014657364, 1.021536530,
2385.035089521, 1.010448695,
2385.055521578, 1.020339921,
2385.075953835, 1.009361983,
2385.096385991, 1.025675851,
2385.116818147, 1.006902473,
2385.137250302, 1.022324698,
2385.157682457, 1.022137996,
2385.178114612, 1.029746919,
2385.198546766, 1.025074099,
2385.218978919, 1.022617497,
2385.239411073, 1.021712773,
2385.259843225, 1.023598737,
2385.280275378, 1.019417431,
2385.300707530, 1.035720432,
2385.321139681, 1.033340586,
2385.341571932, 1.031960141,
2385.362003983, 1.037471684,
2385.382436133, 1.021661096,
2385.402868383, 1.052160453,
2385.423300432, 1.017464680,
2385.443732581, 1.041689929,
2385.464164829, 1.015228946,
2385.484596877, 1.030990274,
2385.505029025, 1.017193951,
2385.525461272, 1.028823813,
2385.545893319, 1.018834543,
2385.566325565, 1.022015679,
2385.586757711, 1.015385433,
2385.607189857, 1.018623434,
2385.627622002, 1.020464873,
2385.648054147, 1.020267862,
2385.668486291, 1.035350639,
2385.688918434, 1.002873395,
2385.709350578, 1.023049758,
2385.729782721, 1.027143585,
2385.750214963, 1.032049494,
2385.770647005, 1.020206327,
2385.791079247, 1.027798031,
2385.811511388, 1.043253206,
2385.831943429, 1.028771620,
2385.852375669, 1.011719679,
2385.872807809, 1.026890787,
2385.893239849, 1.013209344,
2385.913672088, 1.037472123,
2385.934104226, 1.022403487,
2385.954536265, 1.015417679,
2385.974968502, 1.015254525,
2385.995400540, 1.026684278,
2386.015832677, 1.027931806,
2386.036264914, 1.004807468,
2386.056696950, 1.020233529,
2386.077129185, 1.028178184,
2386.097561321, 1.024440500,
2386.138425590, 1.028510239,
2386.158857724, 1.019351837,
2386.179289857, 1.030401712,
2386.199721991, 1.026819697,
2386.220154123, 1.033109261,
2386.240586256, 1.013766137,
2386.261018488, 1.026981654,
2386.281450519, 1.027833696,
2386.301882650, 1.025555005,
2386.322314881, 1.021250905,
2386.342746911, 1.049276425,
2386.383611270, 1.037677326,
2386.404043299, 1.032074862,
2386.424475527, 1.027134200,
2386.444907656, 1.011635360,
2386.465339683, 1.022985348,
2386.485771911, 1.026496783,
2386.506204037, 1.031206243,
2386.526636064, 1.044529625,
2386.547068290, 1.016476695,
2386.567500415, 1.047035501,
2386.587932541, 1.033875578,
2386.608364665, 1.015213748,
2386.628796790, 1.025056973,
2386.649229014, 0.999445318,
2386.669661037, 1.006796991,
2386.690093160, 1.034529056,
2386.710525283, 1.025834231,
2386.730957405, 1.039702012,
2386.751389527, 1.020474842,
2386.771821648, 1.062597843,
2386.792253769, 1.034594787,
2386.812685890, 1.023777621,
2386.833118110, 1.016261447,
2386.853550130, 1.016264385,
2386.873982249, 1.028092295,
2386.894414468, 1.007023130,
2386.914846486, 1.012854103,
2386.935278604, 1.014424284,
2386.955710822, 1.031841455,
2386.976142839, 1.018144705,
2386.996575056, 1.060163071,
2387.017007173, 1.042631063,
2387.037439189, 1.038587687,
2387.057871404, 1.025653965,
2387.078303519, 1.023749320,
2387.098735634, 1.030793783,
2387.119167748, 1.018815132,
2387.139599862, 1.023823401,
2387.160031975, 1.003277917,
2387.180464089, 1.025664931,
2387.200896201, 1.042449799,
2387.221328313, 1.034812714,
2387.241760525, 1.023051629,
2387.262192537, 1.033531176,
2387.282624648, 1.037448479,
2387.303056859, 1.018514985,
2387.323488868, 1.022504355,
2387.343921078, 1.027740404,
2387.364353188, 1.016910385,
2387.384785197, 1.042188909,
2387.405217405, 1.022011741,
2387.425649413, 1.020930440,
2387.446081521, 1.020815151,
2387.466513728, 1.024732378,
2387.486945735, 0.997545370,
2387.507377842, 1.027598333,
2387.527810048, 1.027799844,
2387.548242053, 1.026093833,
2387.568674159, 1.022681348,
2387.609538368, 1.020432043,
2387.629970471, 1.028356173,
2387.650402675, 1.016031463,
2387.670834778, 1.017357726,
2387.691266881, 1.040496527,
2387.711698984, 1.029193678,
2387.732131086, 1.016587323,
2387.752563287, 1.025383444,
2387.772995288, 1.028284991,
2387.793427389, 1.041788335,
2387.813859589, 1.024797275,
2387.834291589, 1.006782128,
2387.854723688, 1.032619980,
2387.875155888, 1.014989462,
2387.895587886, 1.028146944,
2387.916019985, 1.043785258,
2387.936452182, 1.018530738,
2387.956884180, 1.025676594,
2387.977316277, 1.034873952,
2387.997748473, 1.024140073,
2388.018180470, 1.031911494,
2388.038612665, 1.011634915,
2388.059044761, 1.002720991,
2388.079476856, 1.010093152,
2388.099908950, 1.027817378,
2388.120341045, 1.041166271,
2388.140773138, 1.007567556,
2388.161205231, 1.020566266,
2388.181637325, 1.029191940,
2388.202069317, 1.017074616,
2388.222501509, 1.019488938,
2388.242933601, 1.025196153,
2388.263365592, 1.027770219,
2388.283797783, 1.017564725,
2388.304229874, 1.046547045,
2388.365526143, 1.025450095,
2388.385958332, 1.029981069,
2388.406390320, 1.020359966,
2388.426822408, 1.025938403,
2388.447254596, 1.017737901,
2388.467686583, 1.027352089,
2388.488118670, 1.001440232,
2388.508550857, 1.022129155,
2388.528982843, 1.017887109,
2388.549414928, 1.026557634,
