BJD - 2454833, Corrected Flux
2384.830945549, 1.021523279,
2384.851377867, 1.030772394,
2384.871810085, 1.057079871,
2384.912674520, 1.062925762,
2384.933106737, 1.041319254,
2384.953539053, 1.055969734,
2384.973971169, 1.058507993,
2384.994403384, 1.052005469,
2385.014835699, 1.055759321,
2385.035267913, 1.066134446,
2385.055700027, 1.061014707,
2385.076132341, 1.051779940,
2385.096564554, 1.050433121,
2385.116996766, 1.040486873,
2385.137428979, 1.043958047,
2385.157861190, 1.055428760,
2385.178293401, 1.038225756,
2385.198725612, 1.055009732,
2385.219157822, 1.054610392,
2385.239590032, 1.057039577,
2385.260022242, 1.049190647,
2385.280454451, 1.045359998,
2385.300886659, 1.049981958,
2385.321318868, 1.044843577,
2385.341751175, 1.058739714,
2385.362183282, 1.048351887,
2385.382615489, 1.054193579,
2385.403047796, 1.040248598,
2385.423479901, 1.047797382,
2385.443912107, 1.045953559,
2385.464344412, 1.044373553,
2385.484776516, 1.025330764,
2385.505208720, 1.039562884,
2385.525641024, 1.030288878,
2385.546073127, 1.032298452,
2385.566505429, 1.032769852,
2385.586937632, 1.040499687,
2385.607369834, 1.032109396,
2385.627802035, 1.048959816,
2385.648234236, 1.015251550,
2385.668666437, 1.035219825,
2385.689098636, 1.086083460,
2385.709530836, 1.041945357,
2385.729963035, 1.028390354,
2385.750395334, 1.021523921,
2385.770827432, 1.052366894,
2385.791259730, 1.036253136,
2385.811691927, 1.040172156,
2385.832124024, 1.027486332,
2385.852556320, 1.025203736,
2385.872988516, 1.054919624,
2385.893420612, 1.029687107,
2385.913852907, 1.041098403,
2385.934285102, 1.045362775,
2385.954717196, 1.052937123,
2385.975149490, 1.025263965,
2385.995581583, 1.035475269,
2386.016013776, 1.031168510,
2386.036446069, 1.084646152,
2386.056878161, 1.010170958,
2386.077310452, 1.038160043,
2386.097742643, 1.015111291,
2386.138607024, 1.018534566,
2386.159039214, 1.038449949,
2386.179471403, 1.040942691,
2386.199903592, 1.037414612,
2386.220335781, 1.026068080,
2386.240767969, 1.045939740,
2386.261200256, 1.044512255,
2386.281632343, 1.045694344,
2386.302064530, 1.032379106,
2386.322496816, 1.015054076,
2386.342928902, 1.032837667,
2386.383793373, 1.028133769,
2386.404225457, 1.036758483,
2386.424657741, 1.025551264,
2386.445089925, 1.037722696,
2386.465522008, 1.047009143,
2386.485954291, 1.050310550,
2386.506386473, 1.026435430,
2386.526818555, 1.033847981,
2386.547250836, 1.032318713,
2386.567683017, 1.024709900,
2386.588115198, 1.028608468,
2386.608547378, 1.041191593,
2386.628979558, 1.044110787,
2386.649411837, 1.036294914,
2386.669843916, 1.024127287,
2386.690276094, 1.037522120,
2386.710708272, 1.036296681,
2386.731140449, 1.023304184,
2386.751572626, 1.034120476,
2386.772004803, 1.002594206,
2386.792436979, 1.009258563,
2386.812869155, 1.027367114,
2386.833301430, 1.047540222,
2386.853733505, 1.026888323,
2386.874165679, 1.032633825,
2386.894597953, 1.042660323,
2386.915030027, 1.037862716,
2386.935462200, 1.028831949,
2386.955894472, 1.053779662,
2386.976326545, 1.052340640,
2386.996758816, 1.036835798,
2387.017190988, 1.026109761,
2387.037623059, 1.028479530,
2387.058055329, 1.046646441,
2387.078487499, 1.048366743,
2387.098919669, 1.043979249,
2387.119351838, 1.033923408,
2387.139784007, 1.021459194,
2387.160216175, 1.047128134,
2387.180648343, 1.041121779,
2387.201080510, 1.061365309,
2387.221512677, 1.046332200,
2387.241944944, 1.026974003,
2387.262377010, 1.043070935,
2387.282809175, 1.029191733,
2387.303241441, 1.040786914,
2387.323673505, 1.058487825,
2387.344105770, 1.042542842,
2387.364537934, 1.051326224,
2387.384969997, 1.038515466,
2387.405402260, 1.043920309,
2387.425834323, 1.022061168,
2387.446266485, 1.036317403,
2387.466698747, 1.051716107,
2387.487130808, 1.056530613,
2387.507562969, 1.020512873,
2387.527995230, 1.035123343,
2387.548427290, 1.047973718,
2387.568859449, 1.025471081,
2387.609723767, 1.042303206,
2387.630155925, 1.032577595,
2387.650588183, 1.025483300,
2387.671020341, 1.044918526,
2387.691452498, 1.036164186,
2387.711884654, 1.023924352,
2387.732316810, 1.036992095,
2387.752749066, 1.053937661,
2387.773181121, 1.017106736,
2387.793613276, 1.026256167,
2387.814045531, 1.054112304,
2387.834477585, 1.040331861,
2387.854909738, 1.011419871,
2387.875341992, 1.034507641,
2387.895774044, 1.022818067,
2387.916206197, 1.039481197,
2387.936638448, 1.016869739,
2387.957070500, 1.021209925,
2387.977502651, 1.029594487,
2387.997934901, 1.042811395,
2388.018366952, 1.019366970,
2388.038799201, 1.042206947,
2388.059231351, 1.008748804,
2388.079663499, 1.027178137,
2388.100095648, 1.026324308,
2388.120527796, 1.038409636,
2388.140959943, 1.022127099,
2388.161392091, 1.014447942,
2388.181824237, 1.022769057,
2388.202256283, 1.038265909,
2388.222688529, 1.022077902,
2388.243120675, 1.029507341,
2388.263552720, 1.059415028,
2388.283984965, 1.016983142,
2388.304417108, 1.039012969,
2388.365713539, 1.021628510,
2388.386145781, 1.027672524,
2388.406577823, 1.002597663,
2388.427009965, 1.046886108,
2388.447442206, 1.025856230,
2388.467874246, 1.029273789,
2388.488306387, 1.017164341,
2388.508738627, 1.010150295,
2388.529170666, 1.031761405,
2388.549602805, 1.029655941,
2388.570035044, 1.025468817,
2388.590467182, 1.036472764,
2388.610899220, 1.025522473,
2388.631331457, 1.027141503,
2388.651763594, 1.029761331,
2388.672195631, 1.032238545,
2388.692627867, 1.022702627,
2388.713060002, 1.030660474,
2388.733492038, 1.014111190,
2388.753924272, 1.022740207,
2388.774356407, 1.030549153,
2388.794788641, 1.013576175,
2388.815220674, 1.024138507,
2388.835652807, 1.027956744,
2388.856085040, 1.029868088,
2388.876517072, 1.028203783,
2388.896949204, 1.058934268,
2388.917381336, 1.046628157,
2388.937813467, 1.027657634,
2388.958245597, 1.028111477,
2388.978677727, 1.025234500,
2388.999109857, 1.039996621,
2389.019541987, 1.025898989,
2389.039974116, 1.026431176,
2389.060406244, 1.032840335,
2389.080838372, 1.033569812,
2389.101270600, 1.039338977,
2389.121702627, 1.022124608,
2389.142134853, 1.033736594,
2389.162566980, 1.038900979,
2389.182999006, 1.022842368,
2389.203431232, 1.031461554,
2389.223863357, 1.029142173,
2389.244295381, 1.022906074,
2389.264727605, 1.029143874,
2389.285159729, 1.031726350,
2389.305591753, 1.029290298,
2389.326023976, 1.036356685,
2389.346456099, 1.019309837,
2389.366888121, 1.019040857,
2389.387320343, 1.045457223,
2389.407752464, 1.011821846,
2389.428184585, 1.013949902,
2389.448616705, 1.019910437,
2389.469048825, 1.034163545,
2389.489480945, 1.022484555,
2389.509913065, 1.016419904,
2389.530345183, 1.013972069,
2389.550777402, 1.033130163,
2389.571209520, 1.032635953,
2389.591641537, 1.030168422,
2389.612073755, 1.036397584,
2389.632505771, 1.019640107,
2389.652937888, 1.033216198,
2389.673370104, 1.036612749,
2389.693802119, 1.027717993,
2389.714234234, 1.027058483,
2389.734666449, 1.016171905,
2389.755098463, 1.041969344,
2389.775530577, 1.024533236,
2389.795962791, 1.028206172,
2389.816394804, 1.026467635,
2389.836826916, 1.023717355,
2389.857259129, 1.040020198,
2389.877691140, 1.007575445,
2389.898123352, 1.015617941,
2389.918555462, 1.053748004,
2389.938987573, 1.028522399,
2389.959419683, 1.026641290,
2389.979851793, 1.004984386,
2390.000283902, 1.021897277,
2390.020716011, 1.031590245,
2390.041148120, 1.037415401,
2390.061580228, 1.041967484,
2390.082012335, 1.025178902,
2390.102444443, 1.063694527,
2390.122876550, 1.019830378,
2390.143308756, 1.020318331,
2390.163740762, 1.032486466,
2390.184172868, 0.996542209,
2390.204605073, 1.023228348,
2390.225037078, 1.044870004,
2390.245469182, 1.012477067,
2390.265901386, 1.032401376,
2390.306765593, 1.049296905,
2390.327197695, 1.011929906,
2390.347629698, 1.019626623,
2390.368061900, 1.034360562,
2390.388494001, 1.027291146,
2390.408926002, 1.016769124,
2390.429358203, 1.024769145,
2390.449790203, 1.028963342,
2390.470222303, 1.005710070,
2390.490654502, 1.010748059,
2390.511086601, 1.034091333,
2390.531518600, 1.024805746,
2390.551950798, 1.035116813,
2390.572382896, 1.010899052,
2390.592814894, 1.026928099,
2390.613247091, 1.027178280,
2390.633679187, 1.061804100,
2390.654111184, 1.029746970,
2390.674543379, 1.018630539,
2390.694975474, 1.038293320,
2390.715407669, 1.050114151,
2390.735839664, 1.033378333,
2390.756271758, 1.033399174,
2390.776703952, 1.018040170,
2390.797135945, 1.032207871,
2390.817568038, 1.019715461,
2390.838000231, 1.042475866,
2390.858432223, 1.028578418,
2390.878864314, 1.006057880,
2390.899296506, 1.023272973,
2390.919728497, 1.014499739,
2390.940160587, 1.034676161,
2390.960592778, 1.022328743,
2390.981024867, 1.010551688,
2391.001456856, 1.021892736,
2391.021889045, 1.024453627,
2391.042321134, 1.011163138,
2391.062753222, 1.039309794,
2391.083185309, 1.041059625,
2391.103617397, 1.030317412,
2391.124049483, 1.009628478,
2391.144481570, 1.019497277,
2391.164913556, 1.035683620,
2391.185345742, 1.020164134,
2391.205777827, 1.052583541,
2391.226209812, 1.028973483,
2391.246641996, 1.018872700,
2391.267074080, 1.016770231,
2391.287506064, 1.023665642,
2391.307938247, 1.042899502,
2391.328370330, 1.026841289,
2391.348802412, 1.022328303,
2391.369234494, 1.023705481,
2391.389666576, 1.048954566,
2391.410098657, 1.024185185,
2391.430530738, 1.025943039,
2391.450962818, 1.041676291,
2391.471394998, 1.013222572,
2391.491827078, 1.031037256,
2391.512259057, 1.020005447,
2391.532691236, 1.013784876,
2391.553123315, 1.026149784,
2391.573555292, 1.000285959,
2391.593987470, 1.023299803,
2391.614419547, 1.015159963,
2391.634851524, 1.028049171,
2391.655283700, 1.010708869,
2391.675715776, 1.006581994,
2391.696147752, 1.033885219,
2391.716579927, 1.003814647,
2391.737012002, 1.018049189,
2391.757443976, 1.022900345,
2391.777876150, 1.016988263,
2391.798308224, 1.035940601,
2391.818740397, 1.027252309,
2391.839172370, 1.030611785,
2391.859604443, 1.004936240,
2391.880036514, 1.016133804,
2391.900468586, 1.031346379,
2391.920900657, 0.997086019,
2391.941332728, 1.000144035,
2391.961764798, 1.031460386,
2391.982196869, 1.021184731,
2392.002629038, 1.004983455,
2392.023061007, 1.009754125,
2392.043493076, 1.009094204,
2392.063925245, 1.028037573,
2392.084357213, 1.024167681,
2392.104789280, 1.013244134,
2392.125221448, 1.026656620,
2392.145653415, 1.004573838,
2392.166085481, 1.029280674,
2392.186517647, 1.018191552,
2392.206949613, 1.020492601,
2392.227381778, 1.016424707,
2392.268245807, 1.013543853,
2392.288677971, 1.017724328,
2392.309110035, 1.015280537,
2392.329542099, 1.014525824,
2392.349974161, 1.053426390,
2392.370406224, 1.025021506,
2392.390838286, 1.028946479,
2392.411270348, 1.015810453,
2392.431702409, 1.031457516,
2392.452134470, 1.040465650,
2392.472566631, 1.007534187,
2392.492998591, 1.039234782,
2392.513430651, 1.009372154,
2392.533862810, 1.016352226,
2392.554294769, 1.081690808,
2392.574726928, 1.023232678,
2392.595158986, 1.021800952,
2392.615590944, 1.030230876,
2392.636023101, 0.999249315,
2392.656455058, 1.013953868,
2392.676887114, 1.011411275,
2392.697319271, 0.993939444,
2392.717751227, 1.050652934,
2392.738183282, 1.013640129,
2392.758615437, 1.020759044,
2392.779047392, 1.020296486,
2392.799479446, 1.031095928,
2392.819911600, 1.022497392,
2392.840343653, 1.018462715,
2392.860775607, 1.026855885,
2392.881207760, 1.010955245,
2392.901639812, 0.996597384,
2392.922071764, 1.017024866,
2392.942503915, 1.003653215,
2392.962935966, 1.029435628,
2392.983368117, 0.995784442,
2393.003800068, 1.038199032,
2393.024232118, 1.015231270,
2393.044664267, 1.009417462,
2393.187688504, 1.037833734,
2393.208120550, 1.020522868,
2393.228552696, 0.996431888,
2393.248984642, 1.084830433,
2393.269416687, 0.949095947,
2393.289848832, 0.980617535,
2393.310280877, 0.982012131,
2393.330712921, 1.019528433,
2393.351144965, 1.013321304,
2393.371576909, 0.982429087,
2393.392009051, 1.019532658,
2393.412441094, 1.013540845,
2393.432873036, 0.991722866,
2393.453305178, 0.990506439,
2393.494169161, 1.017388595,
2393.514601301, 1.023193128,
2393.535033342, 1.036638718,
2393.555465282, 1.000802927,
2393.575897422, 1.005396419,
2393.596329461, 1.022561345,
2393.616761399, 1.007980476,
2393.637193538, 0.996850431,
2393.657625576, 1.016089653,
2393.678057614, 1.008911868,
2393.698489651, 0.998578366,
2393.718921688, 1.029487042,
2393.739353824, 1.023810886,
2393.759785760, 0.999138976,
2393.780217796, 1.025723622,
2393.800649932, 1.009340847,
2393.821081967, 0.992230570,
2393.841513901, 1.014144221,
2393.861946035, 1.016872675,
2393.882378069, 1.004531354,
2393.902810002, 0.993437621,
2393.923242136, 1.015426849,
2393.943674169, 1.019293699,
2393.964106101, 1.010392058,
2393.984538233, 1.021848550,
2394.004970264, 1.026843966,
2394.025402195, 1.027064000,
2394.045834326, 1.016422181,
2394.066266357, 1.015915821,
2394.086698286, 1.032053989,
2394.107130416, 1.047268296,
2394.127562346, 1.015909110,
2394.147994474, 0.988464360,
2394.168426503, 1.007324830,
2394.188858531, 1.004142382,
2394.229722586, 1.000404392,
2394.250154613, 0.999095611,
2394.270586640, 1.027314552,
2394.291018666, 1.007009210,
2394.311450692, 1.016644051,
2394.331882817, 1.024270484,
2394.352314742, 1.010041738,
2394.372746767, 1.004961530,
2394.393178892, 0.995624090,
2394.413610816, 1.024267984,
2394.434042839, 1.028354439,
2394.454474963, 1.016766218,
2394.474906885, 1.018464787,
2394.495339008, 1.050862645,
2394.515771030, 1.043198220,
2394.536202951, 1.008556914,
2394.556635073, 1.006404629,
2394.577067094, 1.020849976,
2394.597499015, 1.006002058,
2394.617931135, 1.049113843,
2394.638363155, 0.993235165,
2394.658795174, 1.019103489,
2394.679227193, 1.007153395,
2394.699659212, 1.047032354,
2394.720091230, 1.018879665,
2394.740523248, 1.032427650,
2394.760955266, 1.005795778,
2394.781387283, 1.016868370,
2394.801819400, 1.007741573,
2394.822251316, 1.002512165,
2394.842683333, 1.003974887,
2394.863115348, 1.010882370,
2394.883547364, 1.017331829,
2394.903979479, 1.026603985,
2394.924411393, 1.018283922,
2394.944843407, 1.022793427,
2394.985707435, 1.016093557,
2395.006139448, 0.989781675,
2395.026571560, 1.026397228,
2395.047003473, 1.008658126,
2395.067435485, 1.017483866,
2395.087867597, 1.029540439,
2395.108299508, 1.005486848,
2395.128731519, 0.984878238,
2395.149163629, 1.010248370,
2395.169595640, 0.978527332,
2395.210459659, 1.008436962,
2395.230891668, 1.003218966,
2395.251323676, 1.023628559,
2395.271755685, 1.053997031,
2395.292187693, 1.004736583,
2395.312619800, 1.008019265,
2395.333051707, 1.005252946,
2395.353483714, 1.005879366,
2395.373915820, 0.996890384,
2395.394347727, 1.003799314,
2395.414779733, 1.053092211,
2395.435211838, 1.006474265,
2395.455643743, 1.006244310,
2395.476075747, 1.003227324,
2395.496507852, 1.007275914,
2395.516939755, 1.023484453,
2395.537371759, 1.001462965,
2395.557803862, 1.013868688,
2395.578235765, 1.008801912,
2395.598667867, 1.021146008,
2395.619099769, 1.014732349,
2395.639531771, 1.018984264,
2395.659963872, 1.026314680,
2395.680395773, 1.049784446,
2395.700827774, 0.996770404,
2395.721259874, 1.005051642,
2395.741691874, 1.001018267,
2395.762123773, 1.013733853,
2395.782555872, 1.023644555,
2395.802987871, 1.023232673,
2395.823419770, 1.029595409,
2395.843851868, 1.014426681,
2395.864283865, 1.013513562,
2395.884715763, 1.004090303,
2395.905147860, 1.017645351,
2395.925579856, 1.017282609,
2395.946011752, 1.030017064,
2395.966443848, 1.086156407,
2395.986875844, 1.021045922,
2396.007307939, 1.006525048,
2396.027739834, 1.015518143,
2396.048171828, 1.027008639,
2396.068603922, 1.015900019,
2396.089035815, 1.016653681,
2396.109467809, 1.007086030,
2396.129899902, 1.012630578,
2396.150331894, 1.000889110,
2396.191195879, 1.007405333,
2396.211627870, 1.046615640,
2396.232059761, 1.003296930,
2396.252491851, 1.015323154,
2396.272923842, 1.011415354,
2396.293355732, 1.027432053,
2396.313787822, 0.994661594,
2396.334219811, 1.008092990,
2396.354651800, 1.014125202,
2396.375083789, 0.986962825,
2396.395515677, 0.989874062,
2396.415947765, 1.028821293,
2396.436379752, 0.996771717,
2396.456811640, 1.018602202,
2396.477243726, 1.011818805,
2396.497675713, 1.008198721,
2396.518107599, 1.016208848,
2396.538539685, 0.994619497,
2396.558971670, 1.007270693,
2396.579403655, 0.998215732,
2396.599835639, 1.014226085,
2396.620267624, 0.992635643,
2396.640699608, 1.025730233,
2396.681563574, 1.026753028,
2396.763291604, 1.028991065,
2396.783723585, 1.034697775,
2396.804155466, 1.013640991,
2396.824587547, 1.017318048,
2396.845019527, 1.012375710,
2396.865451407, 1.012318895,
2396.885883487, 1.028686665,
2396.906315466, 1.013420884,
2396.926747345, 1.007117919,
2396.947179423, 0.987387971,
2396.967611402, 1.018862320,
2396.988043380, 1.031798094,
2397.008475357, 1.012196990,
2397.028907334, 1.017881199,
2397.049339311, 1.025331971,
2397.069771287, 1.034817291,
2397.090203264, 1.027107323,
2397.110635239, 1.002529638,
2397.131067215, 0.979221884,
2397.151499190, 1.019945508,
2397.171931164, 1.011662388,
2397.192363139, 1.012571166,
2397.212795113, 1.034822554,
2397.253659060, 1.028788887,
2397.335386949, 0.999245779,
2397.355819020, 1.033929681,
2397.376250891, 1.026075739,
2397.396682863, 1.019025002,
2397.417114933, 1.053429197,
2397.437546803, 1.089381518,
2397.457978873, 1.027700612,
2397.478410842, 1.023062983,
2397.498842711, 1.029254036,
2397.519274780, 1.031330692,
2397.539706748, 1.013455282,
2397.560138716, 0.999871677,
2397.580570684, 1.032006939,
2397.601002651, 1.009940045,
2397.621434618, 1.026661662,
2397.662298551, 1.015972507,
2397.682730517, 0.994293739,
2397.703162582, 0.993655223,
2397.723594447, 1.014734445,
2397.744026412, 1.032755862,
2397.764458477, 1.007419268,
2397.784890341, 0.994389775,
2397.805322405, 0.995061183,
2397.825754268, 1.013812864,
2397.846186231, 1.011208777,
2397.866618294, 1.008155273,
2397.887050156, 1.035730005,
2397.907482118, 1.025805738,
2397.927914180, 1.018153622,
2397.948346042, 1.007764284,
2397.968778002, 1.013954199,
2397.989210063, 1.046924723,
2398.009641923, 1.023202083,
2398.030073883, 1.058900614,
2398.050505943, 1.033575123,
2398.070937902, 1.008623054,
2398.091369761, 1.014501233,
2398.111801820, 1.005739861,
2398.152665636, 1.037566433,
2398.173097693, 1.009853916,
2398.193529651, 1.001328375,
2398.213961708, 1.009924942,
2398.234393564, 1.013677993,
2398.254825520, 1.015298251,
2398.275257576, 1.029418174,
2398.295689432, 1.022546317,
2398.316121387, 1.028969968,
2398.336553442, 1.010325948,
2398.356985296, 0.997125925,
2398.377417250, 1.036712642,
2398.397849304, 1.017206419,
2398.418281157, 1.014590785,
2398.438713110, 1.007964201,
2398.459145163, 0.984757497,
2398.479577116, 0.997558376,
2398.500008968, 1.005652563,
