BJD - 2454833, Corrected Flux
2384.831241167, 0.964104597,
2384.851673595, 0.946633158,
2384.872105923, 0.937038043,
2384.912970576, 0.928653117,
2384.933402902, 1.032671107,
2384.953835327, 0.898214315,
2384.974267552, 1.008635853,
2384.994699877, 1.031994159,
2385.015132301, 1.004773510,
2385.035564625, 1.021153551,
2385.055996848, 0.943603734,
2385.076429270, 1.094840170,
2385.096861592, 0.995553147,
2385.117293914, 0.985562200,
2385.137726235, 1.020715638,
2385.158158556, 0.995627120,
2385.178590876, 1.076477698,
2385.199023195, 0.977698190,
2385.219455514, 1.046395942,
2385.239887833, 1.029700703,
2385.260320151, 1.036595625,
2385.280752469, 0.993912295,
2385.301184787, 1.002133342,
2385.321617104, 1.053329088,
2385.342049520, 1.044240170,
2385.362481736, 1.045673647,
2385.382914051, 1.030827971,
2385.403346466, 1.073602290,
2385.423778680, 1.120332187,
2385.444210994, 1.023176029,
2385.464643408, 1.051078816,
2385.485075620, 1.043994998,
2385.505507933, 1.046615330,
2385.525940345, 0.988587352,
2385.546372557, 1.097219290,
2385.566804968, 1.170803364,
2385.587237278, 1.059109033,
2385.607669589, 1.105161003,
2385.628101898, 1.041747488,
2385.648534207, 1.088322530,
2385.668966516, 1.075643331,
2385.689398824, 1.097287252,
2385.709831132, 1.091944101,
2385.730263439, 1.113570669,
2385.750695846, 1.096815213,
2385.771128052, 1.127053204,
2385.791560458, 1.149723838,
2385.811992763, 1.151388245,
2385.832424968, 1.144244342,
2385.852857373, 1.102939472,
2385.873289676, 1.117751797,
2385.893721880, 1.131281903,
2385.914154283, 1.161787777,
2385.934586585, 1.102375988,
2385.955018788, 1.160389436,
2385.975451189, 1.244702791,
2385.995883390, 1.128368955,
2386.016315691, 1.126823625,
2386.036748091, 1.180440273,
2386.057180291, 1.178355760,
2386.077612690, 1.113668262,
2386.098044988, 1.130682094,
2386.138909585, 1.215223323,
2386.159341882, 1.192579327,
2386.179774179, 1.173966824,
2386.200206475, 1.166948648,
2386.220638771, 1.161371655,
2386.241071066, 1.101838007,
2386.261503461, 1.170394523,
2386.281935656, 1.259424629,
2386.302367950, 1.156085750,
2386.322800343, 1.198944611,
2386.343232536, 1.194239306,
2386.384097221, 1.251434220,
2386.404529413, 1.136084385,
2386.424961804, 1.198359893,
2386.445394094, 1.282807718,
2386.465826284, 1.204576371,
2386.486258674, 1.167410538,
2386.506690963, 1.147570622,
2386.527123152, 1.258058825,
2386.547555540, 1.209983266,
2386.567987828, 1.138808412,
2386.588420115, 1.203526138,
2386.608852403, 1.183961815,
2386.629284689, 1.176513328,
2386.649717075, 1.210080164,
2386.670149260, 1.304532820,
2386.690581545, 1.157509313,
2386.711013830, 1.258705848,
2386.731446114, 1.273224663,
2386.751878398, 1.272864500,
