BJD - 2454833, Corrected Flux
2468.486312920, 1.010544655,
2468.506745038, 1.011275093,
2468.527177356, 1.008770081,
2468.547609573, 1.009616881,
2468.568041890, 1.006814209,
2468.588474007, 1.009361756,
2468.608906223, 1.005305210,
2468.629338539, 1.009113712,
2468.649770654, 1.011773456,
2468.690635182, 1.016498548,
2468.711067295, 1.012951434,
2468.731499509, 1.012911585,
2468.751931821, 1.014367945,
2468.772363933, 1.020045877,
2468.792796145, 1.014409097,
2468.813228456, 1.018466522,
2468.833660567, 1.018926403,
2468.854092777, 1.018859076,
2468.874525086, 1.016523976,
2468.894957195, 1.014280588,
2468.935821712, 1.019911943,
2468.956253820, 1.017716720,
2468.976686127, 1.019222703,
2468.997118334, 1.022937197,
2469.017550439, 1.020353988,
2469.037982745, 1.014818522,
2469.058414950, 1.016128372,
2469.078847055, 1.022129138,
2469.099279359, 1.017729860,
2469.119711563, 1.017619642,
2469.140143666, 1.014408703,
2469.181008171, 1.018824639,
2469.201440373, 1.016355410,
2469.221872574, 1.016350566,
2469.242304775, 1.017386829,
2469.262737075, 1.016436691,
2469.283169175, 1.017019601,
2469.303601374, 1.011482695,
2469.324033673, 1.016962044,
2469.344465871, 1.021991608,
2469.364897969, 1.013952274,
2469.385330267, 1.015419937,
2469.426194560, 1.012510477,
2469.446626856, 1.011814087,
2469.467059051, 1.012226052,
2469.487491146, 1.012368629,
2469.507923440, 1.014121334,
2469.528355634, 1.009804410,
2469.548787728, 1.016108608,
2469.569220021, 1.011184691,
2469.589652113, 1.012552130,
2469.610084405, 1.010548009,
2469.630516597, 1.013251196,
2469.671380978, 1.016714066,
2469.691813168, 1.017564699,
2469.712245358, 1.016848988,
2469.732677547, 1.021027542,
2469.753109736, 1.017994067,
2469.773541924, 1.019411857,
2469.793974111, 1.021370663,
2469.814406298, 1.017174633,
2469.834838485, 1.016538434,
2469.855270771, 1.018859115,
2469.875702857, 1.020829399,
2469.916567327, 1.024121883,
2469.936999411, 1.017913959,
2469.957431594, 1.019765913,
2469.977863878, 1.021595040,
2469.998295960, 1.020211641,
2470.018728243, 1.018818853,
2470.039160424, 1.018828949,
2470.059592506, 1.019756485,
2470.080024787, 1.018437085,
2470.100456967, 1.014150813,
2470.120889047, 1.017719895,
2470.161753505, 1.015274562,
2470.182185684, 1.019851309,
2470.202617861, 1.016280754,
2470.223050039, 1.015130712,
2470.243482216, 1.013708090,
2470.263914393, 1.015593758,
2470.284346569, 1.016606402,
