BJD - 2454833, Corrected Flux
2384.831389909, 1.065504158,
2384.851822397, 1.119049505,
2384.872254785, 1.165885413,
2384.913119560, 1.121278689,
2384.933551946, 1.177186159,
2384.953984432, 1.107262607,
2384.974416718, 1.060142864,
2384.994849103, 1.123638297,
2385.015281587, 1.033833412,
2385.035713971, 1.052429684,
2385.056146255, 1.083896105,
2385.076578738, 1.127373105,
2385.097011120, 1.054710827,
2385.117443503, 0.962735344,
2385.137875884, 1.140862092,
2385.158308265, 1.123800304,
2385.178740645, 1.076229530,
2385.199173025, 1.058495344,
2385.219605405, 1.017316561,
2385.240037784, 1.150297487,
2385.260470163, 1.087406268,
2385.280902540, 1.030107536,
2385.301334918, 1.061126103,
2385.321767295, 1.069865674,
2385.342199772, 1.110628231,
2385.362632048, 1.021121542,
2385.383064423, 1.005849137,
2385.403496898, 1.032949861,
2385.423929173, 1.038932600,
2385.444361547, 1.076547001,
2385.464794021, 1.065178968,
2385.485226294, 1.029473057,
2385.505658667, 1.060208123,
2385.526091139, 0.982374141,
2385.546523410, 1.083108698,
2385.566955881, 1.051567423,
2385.587388252, 1.088682880,
2385.607820622, 1.087538218,
2385.628252992, 1.040692342,
2385.648685361, 1.040698702,
2385.669117729, 1.002307005,
2385.689550098, 0.978518545,
2385.709982465, 1.064125258,
2385.730414833, 1.113392344,
2385.750847299, 1.051685062,
2385.771279565, 1.219301913,
2385.791712031, 1.023172363,
2385.812144396, 0.986547087,
2385.832576661, 1.243718794,
2385.853009125, 1.014193850,
2385.873441489, 1.009540142,
2385.893873752, 1.016989619,
2385.914306215, 1.010807646,
2385.934738577, 0.995796034,
2385.955170839, 1.041954740,
2385.975603300, 0.954836194,
2385.996035561, 0.986343016,
2386.016467921, 0.930906049,
2386.036900381, 0.985705993,
2386.057332640, 0.881863068,
2386.077765099, 1.153206879,
2386.098197457, 1.212411904,
2386.139062172, 0.855449975,
2386.159494530, 1.024080436,
2386.179926886, 1.077841293,
2386.200359242, 1.023103585,
2386.220791597, 0.964727144,
2386.241223952, 1.026869233,
2386.261656406, 0.955237223,
2386.282088660, 1.064483790,
2386.302521013, 0.999200350,
2386.322953466, 1.093182439,
2386.343385719, 1.017560841,
2386.384250522, 0.996681995,
2386.404682773, 1.064315370,
2386.425115224, 1.070177807,
2386.445547574, 1.035333251,
2386.465979823, 1.049756149,
2386.486412272, 1.037709215,
2386.506844621, 1.060836043,
2386.527276869, 1.053665829,
2386.547709316, 0.989295767,
2386.568141664, 0.993012875,
2386.588574010, 0.991497817,
2386.609006356, 1.023225124,
2386.629438702, 1.045296535,
2386.649871147, 1.063922195,
2386.670303392, 0.967316153,
2386.690735736, 1.028632141,
2386.711168079, 1.039447183,
2386.731600423, 1.044165374,
2386.752032765, 1.090390294,
2386.772465107, 1.043219416,
2386.792897449, 1.042702239,
2386.813329790, 0.986252828,
2386.833762231, 1.007007167,
2386.854194471, 1.001897377,
2386.874626811, 1.039562202,
2386.895059250, 1.055826193,
2386.915491489, 1.022482810,
2386.935923827, 1.028413428,
2386.956356265, 1.052393917,
2386.976788503, 1.003405146,
2386.997220940, 1.060260612,
2387.017653276, 1.065158999,
2387.038085512, 1.016399945,
2387.058517947, 0.963400833,
2387.078950282, 1.045546391,
2387.099382616, 1.075040519,
2387.119814951, 1.068836494,
2387.140247284, 0.990169411,
2387.160679617, 1.033471487,
2387.181111950, 0.961855188,
2387.201544282, 1.023537686,
2387.221976613, 1.048424006,
2387.242409044, 1.028132338,
2387.262841275, 1.090201430,
2387.283273605, 1.061379340,
2387.303706035, 1.055032340,
2387.324138263, 1.005536661,
2387.344570692, 1.056665637,
2387.365003020, 1.001236145,
2387.385435248, 1.100906367,
2387.405867675, 1.020628959,
2387.426299902, 1.940051219,
2387.446732228, 1.282069723,
2387.467164654, 1.158595367,
2387.487596879, 1.109999451,
2387.508029204, 0.958419244,
2387.528461628, 1.001402505,
2387.548893852, 0.995893706,
2387.610190821, 0.978598650,
2387.630623143, 1.086426482,
2387.651055564, 1.139872433,
2387.671487885, 0.961173139,
2387.691920206, 1.080065413,
2387.712352526, 0.979091655,
2387.732784845, 1.028710382,
2387.753217264, 1.040038577,
2387.773649483, 1.043399716,
2387.794081801, 1.004988281,
2387.814514218, 0.979443294,
2387.834946435, 1.082710737,
2387.855378752, 1.062529112,
2387.875811168, 1.000994906,
2387.896243384, 1.053310450,
2387.916675699, 1.062866345,
2387.937108114, 1.030585273,
2387.957540328, 0.959892252,
2387.977972642, 1.055248861,
2387.998405055, 1.025977546,
2388.018837268, 1.017513082,
2388.039269680, 1.037631019,
2388.059701992, 0.964997517,
2388.080134304, 1.016978272,
2388.100566614, 1.073266388,
2388.120998925, 0.990313490,
2388.141431235, 1.022148220,
2388.161863544, 0.993210796,
2388.182295853, 0.970614502,
2388.202728062, 0.972416750,
2388.223160470, 0.954094850,
2388.243592778, 0.990010188,
2388.264024985, 1.078095989,
2388.284457391, 1.075602705,
2388.304889697, 1.090296528,
2388.366186613, 0.968215082,
2388.386619017, 1.034422828,
2388.407051221, 1.015171023,
2388.427483525, 1.033395359,
2388.447915927, 1.098904051,
2388.468348129, 0.869694788,
2388.488780432, 1.055944352,
2388.509212833, 1.045506391,
2388.529645034, 1.038626034,
2388.550077334, 1.074932069,
2388.570509734, 1.052625342,
2388.590942034, 0.956985626,
2388.611374233, 0.964522098,
2388.631806631, 1.044399500,
2388.652238929, 1.017320443,
2388.672671127, 1.003148877,
2388.693103524, 1.005502624,
2388.713535821, 1.032709954,
2388.733968017, 1.189369029,
2388.754400413, 0.968600797,
2388.774832708, 1.108956873,
2388.795265103, 0.938132274,
2388.815697297, 1.022089302,
2388.836129591, 1.020360009,
2388.856561984, 0.987711162,
2388.876994177, 0.994078916,
2388.897426469, 1.024857910,
2388.917858761, 1.017980314,
2388.938291053, 1.041296264,
2388.958723344, 1.001321450,
2388.979155634, 1.079850807,
2388.999587925, 0.950507269,
2389.020020214, 0.954419841,
2389.040452503, 1.055098447,
2389.060884792, 1.041908341,
2389.081317080, 1.032395485,
2389.101749468, 1.022542572,
2389.122181655, 0.949419758,
2389.142614042, 1.468632013,
2389.163046328, 1.116826935,
2389.183478514, 1.055178025,
2389.203910899, 1.027001163,
2389.224343184, 1.044462898,
2389.244775368, 1.017288262,
2389.265207753, 0.969090716,
2389.285640036, 1.003791513,
2389.306072219, 1.036408837,
2389.326504602, 1.058518594,
2389.346936884, 0.985635988,
2389.367369065, 0.948129543,
2389.387801447, 0.998919548,
2389.408233727, 1.047426652,
2389.428666008, 1.081825200,
2389.449098287, 1.058781304,
2389.469530566, 0.942270249,
2389.489962845, 1.087286407,
2389.510395124, 1.019414884,
2389.530827402, 1.030405327,
2389.551259779, 1.018958672,
2389.571692056, 0.992237758,
2389.592124232, 0.997549487,
2389.612556609, 1.025037299,
2389.632988784, 1.037552141,
2389.653421059, 0.979046746,
2389.673853434, 1.081805917,
2389.694285608, 0.952841431,
2389.714717882, 0.960975203,
2389.735150255, 1.409400396,
2389.755582427, 1.051686628,
2389.776014700, 0.958718974,
2389.796447072, 1.013901507,
2389.816879243, 1.080425478,
2389.837311514, 1.881690410,
2389.857743884, 1.006492581,
2389.878176054, 0.949217300,
2389.898608424, 1.025441028,
2389.919040693, 1.054432676,
2389.939472961, 1.009828346,
2389.959905230, 1.036386806,
2389.980337497, 1.052624705,
2390.000769765, 1.027398159,
2390.021202031, 1.053650474,
2390.041634297, 0.972827673,
2390.062066563, 1.047527953,
2390.082498829, 0.972476290,
2390.102931094, 0.973542621,
2390.123363358, 0.954192757,
2390.143795722, 1.017019832,
2390.164227885, 0.985965716,
2390.184660148, 1.120406048,
2390.205092511, 1.052812496,
2390.225524673, 1.054652484,
2390.245956935, 1.025506623,
2390.266389296, 0.990753266,
2390.307253816, 0.989343473,
2390.327686076, 1.258120263,
2390.348118236, 0.910159106,
2390.368550595, 0.827908058,
2390.388982853, 1.007169721,
2390.409415011, 1.005214627,
2390.429847368, 1.065729207,
2390.450279525, 1.805585683,
2390.470711782, 0.976838713,
2390.491144138, 1.029620629,
2390.511576394, 0.931015273,
2390.532008549, 1.011570223,
2390.552440904, 1.035014246,
2390.572873158, 0.996755828,
2390.593305312, 1.019075063,
2390.613737665, 0.999909325,
2390.634169918, 0.935624427,
2390.654602071, 0.937193663,
2390.675034423, 1.043373771,
2390.695466674, 0.992259350,
2390.715899025, 0.976791902,
2390.736331176, 1.081488002,
2390.756763426, 1.029380449,
2390.777195776, 1.052827910,
2390.797627925, 0.997753186,
2390.818060173, 1.054197454,
2390.838492522, 0.924058622,
2390.858924670, 1.088102401,
2390.879356917, 1.026290224,
2390.899789264, 0.961733678,
2390.920221411, 1.000330950,
2390.940653656, 1.034248057,
2390.961086002, 0.963684012,
2390.981518247, 1.030832230,
2391.001950392, 1.019317490,
2391.022382736, 1.043701673,
2391.042814980, 1.018662306,
2391.063247223, 1.089145188,
2391.083679466, 1.037260413,
2391.104111708, 1.040556897,
2391.124543950, 0.990305269,
2391.144976192, 1.062384765,
2391.165408333, 0.979072818,
2391.185840673, 1.147773307,
2391.206272913, 1.034555427,
2391.226705053, 1.058563804,
2391.247137392, 0.992782265,
2391.267569631, 1.043423122,
2391.288001769, 1.028140114,
2391.308434107, 1.012835135,
2391.328866344, 0.989016785,
2391.349298581, 1.020651911,
2391.369730818, 1.014060598,
2391.390163054, 1.015282149,
2391.410595290, 1.185819488,
2391.431027525, 1.050029682,
2391.451459759, 1.153211298,
2391.471892094, 1.017182759,
2391.492324327, 1.004300985,
2391.512756461, 0.941411531,
2391.533188794, 0.962082660,
2391.553621026, 0.986305922,
2391.574053158, 1.032331422,
2391.594485489, 1.061733686,
2391.614917720, 1.043361048,
2391.635349851, 1.023667961,
2391.655782181, 1.085611223,
2391.676214411, 1.031727455,
2391.696646540, 1.058952000,
2391.717078869, 1.059977698,
2391.737511097, 1.072461837,
2391.757943225, 0.964888953,
2391.778375552, 1.039181328,
2391.798807779, 0.976207604,
2391.819240106, 1.053843930,
2391.839672232, 0.974430650,
2391.860104458, 0.953910667,
2391.880536683, 1.106447053,
2391.900968907, 1.023421632,
2391.921401132, 1.027682209,
2391.941833356, 1.035304972,
2391.962265579, 0.943449475,
2391.982697802, 1.071025845,
