BJD - 2454833, Corrected Flux
2384.830969977, 1.029754995,
2384.851402314, 1.024066167,
2384.871834552, 1.028861894,
2384.912699025, 1.037156758,
2384.933131261, 1.038473914,
2384.953563596, 1.038080038,
2384.973995731, 1.032762219,
2384.994427966, 1.031101523,
2385.014860299, 1.035317833,
2385.035292533, 1.036486971,
2385.055724666, 1.038189779,
2385.076156999, 1.036411612,
2385.096589232, 1.029727409,
2385.117021463, 1.035152713,
2385.137453694, 1.030620182,
2385.157885925, 1.030514076,
2385.178318156, 1.035999872,
2385.198750386, 1.029788718,
2385.219182615, 1.033658792,
2385.239614845, 1.031787741,
2385.260047073, 1.026554277,
2385.280479301, 1.029886788,
2385.300911529, 1.025810237,
2385.321343756, 1.027322632,
2385.341776083, 1.027644991,
2385.362208210, 1.024835822,
2385.382640436, 1.025930825,
2385.403072761, 1.024018402,
2385.423504886, 1.024379385,
2385.443937111, 1.027064485,
2385.464369435, 1.027551667,
2385.484801558, 1.026190255,
2385.505233782, 1.025688344,
2385.525666104, 1.024110403,
2385.546098227, 1.021337599,
2385.566530549, 1.025422784,
2385.586962770, 1.020449448,
2385.607394991, 1.025004173,
2385.627827212, 1.022603857,
2385.648259431, 1.027662958,
2385.668691651, 1.017625045,
2385.689123871, 1.018959795,
2385.709556089, 1.024541200,
2385.729988308, 1.020008941,
2385.750420625, 1.018013038,
2385.770852743, 1.022798248,
2385.791285060, 1.018702666,
2385.811717276, 1.019179904,
2385.832149392, 1.029822469,
2385.852581708, 1.025010038,
2385.873013923, 1.017542463,
2385.893446038, 1.017461956,
2385.913878352, 1.017020323,
2385.934310566, 1.019606238,
2385.954742679, 1.020538343,
2385.975174992, 1.023010013,
2385.995607104, 1.021255653,
2386.016039317, 1.024829994,
2386.036471628, 1.016816943,
2386.056903739, 1.016538763,
2386.077336050, 1.016983227,
2386.097768260, 1.013972789,
2386.138632679, 1.015093376,
2386.159064889, 1.023016994,
2386.179497097, 1.017530952,
2386.199929305, 1.016164457,
2386.220361513, 1.013367233,
2386.240793720, 1.020894878,
2386.261226026, 1.016832142,
2386.281658133, 1.020855892,
2386.302090338, 1.021424068,
2386.322522644, 1.016754887,
2386.342954749, 1.016026109,
2386.383819257, 1.018500835,
2386.404251361, 1.018381925,
2386.424683664, 1.016050868,
2386.445115867, 1.016164144,
2386.465547969, 1.010445678,
2386.485980271, 1.013503953,
2386.506412472, 1.018473856,
2386.526844573, 1.017052957,
2386.547276873, 1.013515723,
2386.567709074, 1.017544022,
2386.588141273, 1.018596369,
2386.608573472, 1.013420831,
2386.629005671, 1.014622581,
2386.649437969, 1.011658990,
2386.669870067, 1.011288160,
2386.690302264, 1.014355298,
2386.710734461, 1.018207643,
2386.731166658, 1.020662701,
2386.751598854, 1.013512075,
2386.772031050, 1.012952351,
2386.792463245, 1.009073106,
2386.812895439, 1.014657598,
2386.833327734, 1.017445980,
2386.853759828, 1.014722129,
2386.874192021, 1.011974045,
2386.894624314, 1.014545668,
2386.915056407, 1.010870193,
2386.935488599, 1.013985693,
2386.955920891, 1.013192648,
2386.976352982, 1.020650528,
2386.996785273, 1.014663452,
2387.017217463, 1.015950239,
2387.037649553, 1.014973489,
2387.058081842, 1.008893171,
2387.078514031, 1.017234085,
2387.098946220, 1.006770538,
2387.119378408, 1.015897852,
2387.139810596, 1.012875622,
2387.160242783, 1.018540582,
2387.180674970, 1.013484922,
2387.201107156, 1.014376656,
2387.221539342, 1.018200602,
2387.241971628, 1.013276275,
2387.262403713, 1.017422033,
2387.282835898, 1.012929050,
2387.303268182, 1.021367686,
2387.323700266, 1.011370569,
2387.344132549, 1.013755184,
2387.364564732, 1.017753436,
2387.384996815, 1.011796015,
2387.405429097, 1.018485324,
2387.425861178, 1.015807584,
2387.446293359, 1.018227813,
2387.466725640, 1.011191681,
2387.487157721, 1.017866986,
2387.507589900, 1.013790781,
2387.528022180, 1.010297421,
2387.548454259, 1.013574758,
2387.568886437, 1.017353427,
2387.609750794, 1.011584866,
2387.630182970, 1.014339387,
2387.650615247, 1.010793539,
2387.671047424, 1.017150895,
2387.691479600, 1.014729770,
2387.711911775, 1.019783100,
2387.732343950, 1.008763517,
2387.752776225, 1.005258656,
2387.773208299, 1.013488296,
2387.793640473, 1.012511197,
2387.814072747, 1.008120468,
2387.834504820, 1.003727130,
2387.854936992, 1.002055538,
2387.875369264, 1.013718800,
2387.895801336, 1.010585518,
2387.916233507, 1.009821758,
2387.936665778, 1.010082201,
2387.957097848, 1.012642719,
2387.977530018, 1.011059447,
2387.997962288, 1.015350803,
2388.018394357, 1.008758157,
2388.038826625, 1.007604785,
2388.059258793, 1.012004518,
2388.079690961, 1.008906554,
2388.100123129, 1.006419509,
2388.120555295, 1.005279335,
2388.140987462, 1.015295904,
2388.161419628, 1.006936159,
2388.181851794, 1.016253428,
2388.202283859, 1.017481154,
2388.222716124, 1.009112755,
2388.243148288, 1.010347262,
2388.263580352, 1.010561744,
2388.284012615, 1.008044372,
2388.304444778, 1.016314850,
2388.365741265, 1.008985558,
2388.386173527, 1.006629348,
2388.406605587, 1.009805127,
2388.427037748, 1.013979134,
2388.447470008, 1.007500714,
2388.467902067, 1.009945791,
2388.488334227, 1.013183400,
2388.508766485, 1.007369533,
2388.529198544, 1.006197776,
2388.549630701, 1.008322324,
2388.570062959, 1.056946385,
2388.590495116, 1.011656839,
2388.610927173, 1.011251109,
2388.631359429, 1.005946834,
2388.651791585, 1.009885345,
2388.672223640, 1.003512234,
2388.692655895, 1.003081985,
2388.713088050, 1.003108040,
2388.733520104, 1.023928462,
2388.753952358, 1.009453799,
2388.774384511, 1.014276622,
2388.794816764, 1.011609049,
2388.815248816, 1.007027943,
2388.835680968, 1.007496828,
2388.856113219, 1.005588941,
2388.876545271, 1.005161444,
2388.896977421, 1.009442007,
2388.917409571, 1.009753321,
2388.937841721, 1.007745385,
2388.958273871, 1.008649083,
2388.978706020, 1.006952778,
2388.999138168, 1.003711452,
2389.019570316, 1.012027608,
2389.040002464, 1.013353078,
2389.060434612, 1.006952736,
2389.080866758, 1.017269267,
2389.101299005, 1.007268625,
2389.121731051, 1.003789674,
2389.142163297, 1.001537698,
2389.162595442, 1.006825175,
2389.183027487, 1.003912113,
2389.203459731, 1.007235320,
2389.223891875, 1.016519217,
2389.244323918, 1.007588901,
2389.264756161, 1.006440209,
2389.285188304, 1.006952726,
2389.305620346, 1.007157237,
2389.326052588, 1.010875436,
2389.346484729, 1.009265532,
2389.366916770, 1.007540521,
2389.387349011, 1.013386455,
2389.407781151, 1.008409362,
2389.428213291, 1.011901485,
2389.448645430, 1.004007987,
2389.469077569, 1.006917342,
2389.489509708, 1.004913895,
2389.509941845, 1.011527516,
2389.530373983, 1.007993159,
2389.550806221, 1.007974251,
2389.571238357, 1.006842669,
2389.591670393, 1.005857626,
2389.612102629, 1.004104666,
2389.632534665, 1.008608890,
2389.652966800, 1.009835727,
2389.673399035, 1.016379319,
2389.693831069, 1.006370894,
2389.714263203, 1.008533430,
2389.734695436, 1.006903999,
2389.755127469, 1.012839427,
2389.775559602, 1.008742611,
2389.795991834, 1.015169144,
2389.816423866, 1.012975090,
2389.836855997, 1.014013689,
2389.857288228, 1.011970965,
2389.877720259, 1.010071406,
2389.898152489, 1.003996799,
2389.918584618, 1.007485694,
2389.939016748, 1.011214325,
2389.959448877, 1.008023278,
2389.979881005, 1.006587154,
2390.000313133, 1.013047486,
2390.020745261, 1.010439912,
2390.041177388, 1.011964131,
2390.061609515, 1.016169468,
2390.082041641, 1.011933398,
2390.102473767, 1.006966895,
2390.122905893, 1.009402090,
2390.143338118, 1.007107271,
2390.163770142, 1.007075239,
2390.184202267, 1.013211069,
2390.204634491, 1.009305579,
2390.225066514, 1.010975927,
2390.245498637, 1.009845319,
2390.265930860, 1.010599380,
2390.306795104, 1.007717620,
2390.327227225, 1.012951940,
2390.347659246, 1.004150383,
2390.368091467, 1.008344345,
2390.388523587, 1.010608960,
2390.408955607, 1.005843206,
2390.429387826, 1.003979501,
2390.449819845, 1.007562445,
2390.470251963, 1.009163505,
2390.490684182, 1.016422811,
2390.511116299, 1.006765949,
2390.531548317, 1.009445355,
2390.551980534, 1.003513684,
2390.572412650, 1.006134110,
2390.592844666, 1.007328973,
2390.613276882, 1.008802112,
2390.633708997, 1.009504389,
2390.654141012, 1.003491968,
2390.674573226, 1.014425084,
2390.695005340, 1.011528871,
2390.715437554, 1.006246495,
2390.735869567, 1.021406098,
2390.756301680, 1.011005231,
2390.776733892, 1.008531666,
2390.797165904, 1.007710761,
2390.817598016, 1.011823017,
2390.838030227, 1.006543859,
2390.858462237, 1.019481432,
2390.878894348, 1.010418740,
2390.899326558, 1.009834609,
2390.919758567, 1.008860514,
2390.940190676, 1.005716791,
2390.960622885, 1.006280993,
2390.981054993, 1.009542703,
2391.001487001, 1.005197308,
2391.021919209, 1.004634309,
2391.042351316, 1.012851629,
2391.062783422, 1.006108586,
2391.083215528, 1.009175352,
2391.103647635, 1.006588814,
2391.124079740, 1.004474451,
2391.144511845, 1.009389090,
2391.164943849, 1.006378238,
2391.185376054, 1.008415415,
2391.205808157, 1.000784379,
2391.226240161, 1.007769856,
2391.246672364, 1.006890430,
2391.267104467, 1.012381088,
2391.287536469, 1.008101769,
2391.307968671, 1.006988881,
2391.328400772, 1.006150037,
2391.348832873, 1.007939083,
2391.369264973, 1.008433549,
2391.389697073, 1.009186063,
2391.410129173, 1.010533263,
2391.430561273, 1.002776751,
2391.450993372, 1.002548522,
2391.471425570, 1.004024933,
2391.491857668, 1.003114747,
2391.512289666, 1.014110434,
2391.532721863, 1.002211966,
2391.553153960, 1.010871420,
2391.573585957, 1.008018394,
2391.594018153, 1.008044819,
2391.614450249, 1.006400296,
2391.634882244, 1.006043207,
2391.655314439, 1.005234700,
2391.675746533, 1.002414811,
2391.696178527, 1.009828514,
2391.716610721, 1.002253628,
2391.737042815, 1.009820225,
2391.757474808, 1.005661779,
2391.777907000, 1.008964131,
2391.798339092, 1.009337062,
2391.818771284, 1.007829524,
2391.839203275, 1.005839765,
2391.859635366, 1.006293610,
2391.880067457, 1.005437214,
2391.900499546, 1.000912459,
2391.920931636, 1.005127754,
2391.941363726, 1.008932855,
2391.961795815, 1.002912602,
2391.982227903, 1.002509296,
2392.002660091, 1.007274084,
2392.023092079, 1.007564380,
2392.043524166, 1.008736672,
2392.063956353, 1.003871573,
2392.084388340, 1.005057075,
2392.104820425, 1.006377122,
2392.125252612, 1.004989488,
2392.145684597, 1.006599423,
2392.166116682, 1.006744379,
2392.186548866, 1.006404081,
2392.206980850, 1.003044428,
2392.227413034, 1.004359723,
2392.268277100, 1.009185267,
2392.288709283, 1.003073296,
2392.309141365, 1.005851284,
2392.329573447, 1.009232707,
2392.350005528, 1.005158126,
2392.370437609, 1.007518049,
2392.390869689, 1.003959706,
2392.411301770, 1.008983329,
2392.431733850, 1.002692956,
2392.452165929, 1.004029014,
2392.472598108, 1.006378614,
2392.493030086, 1.003656374,
2392.513462164, 1.004940590,
2392.533894342, 1.008624654,
2392.554326320, 1.005066549,
2392.574758497, 1.007190785,
2392.595190574, 0.999518526,
2392.615622549, 1.005674109,
2392.636054725, 1.000224210,
2392.656486701, 1.002091967,
2392.676918776, 1.005597107,
2392.697350950, 1.009050690,
2392.717782925, 0.999088368,
2392.738214999, 1.034265666,
2392.758647172, 1.004719974,
2392.779079145, 1.003317114,
2392.799511218, 1.004424332,
