BJD - 2454833, Corrected Flux
2384.830987769, 1.012868344,
2384.851420094, 1.007840489,
2384.871852318, 1.005520462,
2384.912716766, 1.009230121,
2384.933148988, 1.009409422,
2384.953581311, 1.011163374,
2384.974013433, 1.010857937,
2384.994445655, 1.009699836,
2385.014877976, 1.022222111,
2385.035310197, 1.010608114,
2385.055742317, 1.022705626,
2385.076174637, 1.012205243,
2385.096606856, 1.010042197,
2385.117039075, 1.010228861,
2385.137471294, 1.013473167,
2385.157903512, 1.013479578,
2385.178335729, 1.002047337,
2385.198767946, 1.008336555,
2385.219200163, 1.017244917,
2385.239632379, 1.015639613,
2385.260064595, 1.016306948,
2385.280496810, 1.015349821,
2385.300929025, 1.010918532,
2385.321361239, 1.008667381,
2385.341793553, 1.022200509,
2385.362225667, 1.011768767,
2385.382657880, 1.012690877,
2385.403090192, 1.006613377,
2385.423522304, 1.009027423,
2385.443954516, 1.012588089,
2385.464386827, 1.008349690,
2385.484818938, 1.010537263,
2385.505251148, 1.019316669,
2385.525683458, 1.018978705,
2385.546115568, 1.018789590,
2385.566547876, 1.014269599,
2385.586980085, 1.017527532,
2385.607412293, 1.015633596,
2385.627844501, 1.018927554,
2385.648276708, 1.017218964,
2385.668708915, 1.007174134,
2385.689141121, 1.016993311,
2385.709573327, 1.016709774,
2385.730005532, 1.014411897,
2385.750437837, 1.016192082,
2385.770869941, 1.018744294,
2385.791302245, 1.026983581,
2385.811734449, 1.011025610,
2385.832166552, 1.010176247,
2385.852598855, 1.016144140,
2385.873031057, 1.022272715,
2385.893463159, 1.020320475,
2385.913895460, 1.017022157,
2385.934327661, 1.029382627,
2385.954759762, 1.007845145,
2385.975192062, 1.021952503,
2385.995624161, 1.020109740,
2386.016056360, 1.022740319,
2386.036488659, 1.012806695,
2386.056920757, 1.015737105,
2386.077353055, 1.013423368,
2386.097785252, 1.020763151,
2386.138649645, 1.018192842,
2386.159081841, 1.022034213,
2386.179514037, 1.017017573,
2386.199946232, 1.014171154,
2386.220378427, 1.020250697,
2386.240810621, 1.022924925,
2386.261242915, 1.023878038,
2386.281675008, 1.017741576,
2386.302107201, 1.023392612,
2386.322539493, 1.017975360,
2386.342971585, 1.015114226,
2386.383836068, 1.020357736,
2386.404268159, 1.025633376,
2386.424700449, 1.014318594,
2386.445132639, 1.015339424,
2386.465564728, 1.016999891,
2386.485997017, 1.021504340,
2386.506429206, 1.018953015,
2386.526861294, 1.022071893,
2386.547293581, 1.020953185,
2386.567725768, 1.023174143,
2386.588157955, 1.016625844,
2386.608590141, 1.018686123,
2386.629022327, 1.029768791,
2386.649454612, 1.019381738,
2386.669886697, 1.022451389,
2386.690318881, 1.020133332,
2386.710751066, 1.016950244,
2386.731183249, 1.022978757,
2386.751615432, 1.014635831,
2386.772047615, 1.025098182,
2386.792479797, 1.015567097,
2386.812911979, 1.022950307,
2386.833344260, 1.038009350,
2386.853776342, 1.018903114,
2386.874208522, 1.025331520,
2386.894640802, 1.022671947,
2386.915072882, 1.027375441,
2386.935505061, 1.015508941,
2386.955937339, 1.025090303,
2386.976369418, 1.016114213,
2386.996801695, 1.023929606,
2387.017233873, 1.024123759,
2387.037665950, 1.012477182,
2387.058098227, 1.011036950,
2387.078530403, 1.015068625,
2387.098962578, 1.020297328,
2387.119394754, 1.024926415,
2387.139826928, 1.025040070,
2387.160259103, 1.023246398,
2387.180691277, 1.013176914,
2387.201123450, 1.014970078,
2387.221555623, 1.020667472,
2387.241987896, 1.020268386,
2387.262419968, 1.017412149,
2387.282852140, 1.025136914,
2387.303284411, 1.020979736,
2387.323716482, 1.017027219,
2387.344148752, 1.024914440,
2387.364580922, 1.016445490,
2387.385012992, 1.008876240,
2387.405445261, 1.019655874,
2387.425877330, 1.015919079,
2387.446309498, 1.018314093,
2387.466741766, 1.019514986,
2387.487173833, 1.017192908,
2387.507606000, 1.026066985,
2387.528038266, 1.019132414,
2387.548470333, 1.009237979,
2387.568902498, 1.035329352,
2387.609766828, 1.017158039,
2387.630198992, 1.020228966,
2387.650631256, 1.018556903,
2387.671063420, 1.012035671,
2387.691495583, 1.018997974,
2387.711927746, 1.018200945,
2387.732359908, 1.021153466,
2387.752792169, 1.019207173,
2387.773224231, 1.018758097,
2387.793656392, 1.029893603,
2387.814088652, 1.020335639,
2387.834520712, 1.017085346,
2387.854952872, 1.019931418,
2387.875385131, 1.015976097,
2387.895817190, 1.020272015,
2387.916249348, 1.018227124,
2387.936681606, 1.021277546,
2387.957113663, 1.014891505,
2387.977545820, 1.023022253,
2387.997978077, 1.024256285,
2388.018410133, 1.019914408,
2388.038842389, 1.018936273,
2388.059274544, 1.014101365,
2388.079706699, 1.016234096,
2388.100138853, 1.012815720,
2388.120571007, 1.035841247,
2388.141003161, 1.014351487,
2388.161435314, 1.020084188,
2388.181867466, 1.015601849,
2388.202299519, 1.020009170,
2388.222731770, 1.012255626,
2388.243163922, 1.019053647,
2388.263595973, 1.018865466,
2388.284028223, 1.027352623,
2388.304460373, 1.008906380,
2388.365756821, 1.018127020,
2388.386189069, 1.015241388,
2388.406621118, 1.023289707,
2388.427053265, 1.015573394,
2388.447485512, 1.021420726,
2388.467917559, 1.020414680,
2388.488349705, 1.020163802,
2388.508781951, 1.015640186,
2388.529213996, 1.017451773,
2388.549646141, 1.017113315,
2388.570078386, 1.018446687,
2388.590510530, 1.015653781,
2388.610942574, 1.020621283,
2388.631374817, 1.015408136,
2388.651806960, 1.017953971,
2388.672239002, 1.017083002,
2388.692671244, 1.015936093,
2388.713103385, 1.020269864,
2388.733535427, 1.025241733,
2388.753967668, 1.017901809,
2388.774399808, 1.019571485,
2388.794832047, 1.019929977,
2388.815264087, 1.014548109,
2388.835696226, 1.024674045,
2388.856128465, 1.013948955,
2388.876560503, 1.023234052,
2388.896992641, 1.018580982,
2388.917424778, 1.019924583,
2388.937856915, 1.025645888,
2388.958289051, 1.015110900,
2388.978721187, 1.025289055,
2388.999153323, 1.020405519,
2389.019585458, 1.014417965,
2389.040017593, 1.013333485,
2389.060449727, 1.029275558,
2389.080881861, 1.019300244,
2389.101314095, 1.011556190,
2389.121746128, 1.015789538,
2389.142178360, 1.020666061,
2389.162610492, 1.015334000,
2389.183042525, 1.015140932,
2389.203474756, 1.018628086,
2389.223906887, 1.023754434,
2389.244338917, 1.023719088,
2389.264771148, 1.019677988,
2389.285203277, 1.020087374,
2389.305635306, 1.019861209,
2389.326067535, 1.009489252,
2389.346499664, 1.025019768,
2389.366931692, 1.018610145,
2389.387363920, 1.017866737,
2389.407796047, 1.023511932,
2389.428228173, 1.015756081,
2389.448660300, 1.020045845,
2389.469092426, 1.022044965,
2389.489524551, 1.017883153,
2389.509956676, 1.016459945,
2389.530388801, 1.025362241,
2389.550821025, 1.020504441,
2389.571253149, 1.019902250,
2389.591685173, 1.022018308,
2389.612117395, 1.011955703,
2389.632549418, 1.025185548,
2389.652981540, 1.018090115,
2389.673413762, 1.016525677,
2389.693845783, 1.013572799,
2389.714277904, 1.013257601,
2389.734710125, 1.018584550,
2389.755142145, 1.014182508,
2389.775574264, 1.022484806,
2389.796006484, 1.019765350,
2389.816438502, 1.018089698,
2389.836870621, 1.019244164,
2389.857302839, 1.025617833,
2389.877734856, 1.018161444,
2389.898167074, 1.018642521,
2389.918599190, 1.024830701,
2389.939031307, 1.014734770,
2389.959463423, 1.015819655,
2389.979895538, 1.022500626,
2390.000327653, 1.017777949,
2390.020759768, 1.025250021,
2390.041191882, 1.026268507,
2390.061623996, 1.020083336,
2390.082056109, 1.026290906,
2390.102488222, 1.022113609,
2390.122920335, 1.017768482,
2390.143352547, 1.019238556,
2390.163784559, 1.017842193,
2390.184216670, 1.019523581,
2390.204648881, 1.012956106,
2390.225080892, 1.019257334,
2390.245513002, 1.012753299,
2390.265945211, 1.014282591,
2390.306809429, 1.025595483,
2390.327241538, 1.019864607,
2390.347673546, 1.020586071,
2390.368105753, 1.011226611,
2390.388537861, 1.018610795,
2390.408969868, 1.020585770,
2390.429402074, 1.016029784,
2390.449834080, 1.010444370,
2390.470266186, 1.022306350,
2390.490698391, 1.026437910,
2390.511130495, 1.016017828,
2390.531562500, 1.022272278,
2390.551994704, 1.017707338,
2390.572426807, 1.016373702,
2390.592858811, 1.023503803,
2390.613291013, 1.025049872,
2390.633723115, 1.024898029,
2390.654155117, 1.017209952,
2390.674587318, 1.016573317,
2390.695019419, 1.022571191,
2390.715451620, 1.013912914,
2390.735883621, 1.012865274,
2390.756315720, 1.017771915,
2390.776747920, 1.011552906,
2390.797179919, 1.021474058,
2390.817612017, 1.018443688,
2390.838044215, 1.020660710,
2390.858476213, 1.019281802,
2390.878908311, 1.021427058,
2390.899340507, 1.013361716,
2390.919772504, 1.018851658,
2390.940204600, 1.027959822,
2390.960636796, 1.023322946,
2390.981068892, 1.025158351,
2391.001500886, 1.014948275,
2391.021933081, 1.020651323,
2391.042365175, 1.019379318,
2391.062797269, 1.034274344,
2391.083229362, 1.015736641,
2391.103661455, 1.026305830,
2391.124093547, 1.020936998,
2391.144525639, 1.013923519,
2391.164957631, 1.021411815,
2391.185389822, 1.027634189,
2391.205821913, 1.017610982,
2391.226253903, 1.020169126,
2391.246686094, 1.010870580,
2391.267118183, 1.017325617,
2391.287550173, 1.010339426,
2391.307982361, 1.012729095,
2391.328414450, 1.016014016,
2391.348846538, 1.023757234,
2391.369278625, 1.016616803,
2391.389710713, 1.023297446,
2391.410142799, 1.018210848,
2391.430574886, 1.027519837,
2391.451006972, 1.015803101,
2391.471439158, 1.012172344,
2391.491871243, 1.021354396,
2391.512303227, 1.016050256,
2391.532735412, 1.022416232,
2391.553167496, 1.009680416,
2391.573599479, 1.019252058,
2391.594031662, 1.015361301,
2391.614463745, 1.018495281,
2391.634895727, 1.012382436,
2391.655327909, 1.017577100,
2391.675759991, 1.019141753,
2391.696191972, 1.016418133,
2391.716624153, 1.031378282,
2391.737056233, 1.016616102,
2391.757488213, 1.014987235,
2391.777920393, 1.025978828,
2391.798352472, 1.019117819,
2391.818784651, 1.013316755,
2391.839216629, 1.021698281,
2391.859648707, 1.022832279,
2391.880080785, 1.016434183,
2391.900512862, 1.025663016,
2391.920944938, 1.020351999,
2391.941377015, 1.015315053,
2391.961809091, 1.024855152,
2391.982241167, 1.034387004,
2392.002673341, 1.018000599,
2392.023105316, 1.010673314,
2392.043537391, 1.027451516,
2392.063969565, 1.018140948,
2392.084401538, 1.009039211,
2392.104833612, 1.014821410,
2392.125265784, 1.014618222,
2392.145697756, 1.022395095,
2392.166129829, 1.013361586,
2392.186562000, 1.022829852,
2392.206993971, 1.011411894,
2392.227426142, 1.018637742,
2392.268290182, 1.023900000,
2392.288722352, 1.016299896,
2392.309154421, 1.016944524,
2392.329586490, 1.010028927,
2392.350018559, 1.024825121,
2392.370450626, 1.026735649,
2392.390882694, 1.024989268,
2392.411314761, 1.016512504,
2392.431746828, 1.026420483,
2392.452178894, 1.014799255,
2392.472611060, 1.017637105,
2392.493043026, 1.021873561,
2392.513475091, 1.026105436,
2392.533907256, 1.016873613,
2392.554339221, 1.065558902,
2392.574771385, 1.016032212,
2392.595203448, 1.023955117,
2392.615635411, 1.013979997,
2392.636067574, 1.014804042,
2392.656499537, 1.017953978,
2392.676931599, 1.024416525,
2392.697363761, 1.013408130,
2392.717795722, 1.015412173,
2392.738227783, 1.018968779,
2392.758659944, 1.016013280,
2392.779091904, 1.013326064,
2392.799523963, 1.015860886,
2392.819956122, 1.019505765,
2392.840388181, 1.016898642,
2392.860820140, 1.018248355,
2392.881252298, 1.010679256,
2392.901684356, 1.014949274,
2392.922116313, 1.010804678,
2392.942548470, 1.007941610,
2392.962980527, 1.022436889,
2392.983412683, 1.022801344,
2393.003844639, 1.018526006,
2393.024276694, 1.022965606,
2393.044708849, 1.017069878,
2393.187733123, 1.026588670,
2393.208165175, 1.010594348,
2393.228597327, 1.011882090,
2393.249029278, 1.022035018,
2393.269461329, 1.019108520,
2393.289893479, 1.009776116,
2393.310325529, 1.026674677,
2393.330757578, 1.011443143,
2393.351189627, 1.021109775,
2393.371621576, 1.014440239,
2393.392053725, 1.016196062,
2393.412485773, 1.017670833,
2393.432917721, 1.015526618,
2393.453349868, 1.018613056,
2393.494213861, 1.008034682,
2393.514646007, 1.011682404,
2393.535078053, 1.023062129,
2393.555509998, 1.017860599,
2393.575942143, 1.009852488,
2393.596374187, 1.053541465,
2393.616806132, 1.008298039,
2393.637238275, 1.012374995,
2393.657670319, 1.016640221,
2393.678102361, 1.014145896,
2393.698534404, 1.027053894,
2393.718966447, 1.018445928,
2393.739398588, 1.009408070,
2393.759830530, 1.013344785,
2393.780262571, 1.021263287,
2393.800694711, 1.021641109,
2393.821126752, 1.013867446,
2393.841558692, 1.008550273,
2393.861990831, 1.012546034,
2393.882422870, 1.015276900,
2393.902854809, 1.007177737,
2393.923286947, 1.016004066,
2393.943718985, 1.018734651,
2393.964150923, 1.012318776,
2393.984583060, 1.020752078,
2394.005015097, 1.020172087,
2394.025447034, 1.014136433,
2394.045879170, 1.007453939,
2394.066311205, 1.007294299,
2394.086743141, 1.014834195,
2394.107175276, 1.042553719,
2394.127607210, 1.003146194,
2394.148039344, 1.019382911,
2394.168471378, 1.014473364,
2394.188903412, 1.018267648,
2394.229767477, 1.016051405,
2394.250199509, 1.022688056,
2394.270631541, 1.018273701,
2394.291063573, 1.017485437,
2394.311495604, 1.011097514,
2394.331927735, 1.020890469,
2394.352359665, 1.008989674,
2394.372791695, 1.003715755,
2394.393223824, 1.015401326,
2394.413655754, 1.018342004,
2394.434087783, 1.020006371,
2394.454519911, 1.005521347,
2394.474951839, 1.014947063,
2394.495383967, 1.009632447,
2394.515815994, 1.016632040,
2394.536247921, 1.015030050,
2394.556680047, 1.018664344,
2394.577112074, 1.013178647,
2394.597543999, 1.018354675,
2394.617976125, 1.015439903,
2394.638408150, 1.016765379,
2394.658840175, 1.017331148,
2394.679272199, 1.017361533,
2394.699704223, 1.014735665,
2394.720136247, 1.021654644,
2394.740568270, 1.082077682,
2394.761000293, 1.114661620,
2394.781432315, 1.027784328,
2394.801864437, 1.014895227,
2394.822296359, 1.014799345,
2394.842728380, 1.017961972,
2394.863160401, 1.023236911,
2394.883592421, 1.019261745,
2394.904024542, 1.022960204,
2394.924456461, 1.014708827,
2394.944888481, 1.011542462,
2394.985752518, 1.007757851,
2395.006184536, 1.018548735,
2395.026616655, 1.017621653,
2395.047048572, 1.017600554,
2395.067480589, 1.011091194,
2395.087912706, 1.014733986,
2395.108344623, 1.013030881,
2395.128776638, 1.014452213,
2395.149208754, 1.012306996,
2395.169640770, 1.017831018,
2395.210504799, 1.009398394,
2395.230936813, 1.018657226,
2395.251368827, 1.009729440,
2395.271800840, 1.015031768,
2395.292232853, 1.030034024,
2395.312664966, 1.015582426,
2395.333096878, 1.011910678,
2395.353528890, 1.018794818,
2395.373961002, 1.013960949,
2395.394392913, 1.013767916,
2395.414824924, 1.023806657,
2395.435257034, 1.018191418,
2395.455688944, 1.014051033,
2395.476120954, 1.006866092,
2395.496553064, 1.012669441,
2395.516984972, 1.014885749,
2395.537416981, 1.013552151,
2395.557849089, 1.017888528,
2395.578280997, 1.012014009,
2395.598713104, 1.022925573,
2395.619145012, 1.021340968,
2395.639577018, 1.015473317,
2395.660009125, 1.019908840,
2395.680441031, 1.017481986,
2395.700873037, 1.010819346,
2395.721305142, 1.014950742,
2395.741737147, 1.012814300,
2395.762169051, 1.015980269,
2395.782601156, 1.009818606,
2395.803033159, 1.010220313,
2395.823465063, 1.010972648,
2395.843897166, 1.016142644,
2395.864329169, 1.011529314,
2395.884761071, 1.015505714,
2395.905193173, 1.014895547,
2395.925625175, 1.011284554,
2395.946057076, 1.015918634,
2395.966489176, 1.017086771,
2395.986921177, 1.016187737,
2396.007353277, 1.011987811,
2396.027785177, 1.005623382,
2396.048217176, 1.020734446,
2396.068649275, 1.019369416,
2396.089081174, 1.017816999,
2396.109513173, 1.008641835,
2396.129945270, 1.013045396,
2396.150377268, 1.010534174,
2396.191241262, 1.010070522,
2396.211673259, 1.007799342,
2396.232105155, 1.010807181,
2396.252537251, 1.007572784,
2396.272969246, 1.010704652,
2396.293401141, 1.050962028,
2396.313833236, 1.026664280,
2396.334265230, 1.014753468,
2396.354697224, 1.019648693,
2396.375129218, 1.011920267,
2396.395561111, 1.010671883,
2396.415993204, 1.009536756,
2396.436425196, 1.017532949,
2396.456857088, 1.015903382,
2396.477289180, 1.007418916,
2396.497721171, 1.012610899,
2396.518153062, 1.008411226,
2396.538585153, 1.008428506,
2396.559017143, 1.024781220,
2396.579449134, 1.014955359,
2396.599881123, 1.040903191,
2396.620313112, 1.003014532,
2396.640745101, 1.009686004,
2396.681609078, 1.007568600,
2396.763337127, 1.013335468,
2396.783769113, 1.017561838,
2396.804200999, 1.015910321,
2396.824633085, 1.017397862,
2396.845065070, 1.012128987,
2396.865496955, 1.019706560,
2396.885929040, 1.009616347,
2396.906361024, 1.015595325,
2396.926792908, 1.015725415,
2396.947224991, 1.014716786,
2396.967656974, 1.008945375,
2396.988088957, 1.013075993,
2397.008520939, 1.008070740,
2397.028952921, 1.016038542,
2397.049384903, 1.015124217,
2397.069816885, 1.019039180,
2397.090248865, 1.006723437,
2397.110680846, 1.013190388,
2397.131112826, 1.007416932,
2397.151544806, 1.011159407,
2397.171976786, 1.017678159,
2397.192408765, 1.013573853,
2397.212840744, 1.016904802,
2397.253704700, 1.012231875,
2397.335432610, 1.012440955,
2397.355864686, 1.020828820,
2397.376296562, 1.006083807,
2397.396728538, 1.010034722,
2397.417160613, 1.012863456,
2397.437592488, 1.017818022,
2397.458024562, 1.009380958,
2397.478456537, 1.007529697,
2397.498888411, 1.012477076,
2397.519320484, 1.011541753,
2397.539752457, 1.015625563,
2397.560184430, 1.006872646,
2397.580616403, 1.013602144,
2397.601048375, 1.012381090,
2397.621480347, 1.017580887,
2397.662344289, 1.008720644,
2397.682776260, 1.005129563,
2397.703208330, 1.019051760,
2397.723640200, 1.010940323,
2397.744072170, 1.013932631,
2397.764504239, 1.016456243,
2397.784936108, 1.011419077,
