BJD - 2454833, Corrected Flux
2468.486470293, 0.936874298,
2468.506902494, 0.949573364,
2468.527334896, 0.951351011,
2468.547767197, 0.955716038,
2468.568199597, 0.947282327,
2468.588631797, 0.956440627,
2468.609064096, 0.945941976,
2468.629496495, 0.937023598,
2468.649928694, 0.938974704,
2468.690793389, 0.940326622,
2468.711225586, 0.935648198,
2468.731657882, 0.948760097,
2468.752090278, 0.941898757,
2468.772522473, 0.939823589,
2468.792954768, 0.943961806,
2468.813387162, 0.950062311,
2468.833819356, 0.947919079,
2468.854251649, 0.941442270,
2468.874684042, 0.940226911,
2468.895116234, 0.942080550,
2468.935980917, 0.968726700,
2468.956413108, 0.939404432,
2468.976845498, 0.937803908,
2468.997277788, 0.931326907,
2469.017709977, 0.937768131,
2469.038142365, 0.936574491,
2469.058574654, 0.931226346,
2469.079006841, 0.929239661,
2469.099439229, 0.931296553,
2469.119871515, 0.934366899,
2469.140303701, 0.935570686,
2469.181168372, 0.935310807,
2469.201600657, 0.947111090,
2469.222032941, 0.985976903,
2469.242465224, 0.939687192,
2469.262897608, 0.933360370,
2469.283329790, 0.932861887,
2469.303762072, 0.941075551,
2469.324194454, 0.930444794,
2469.344626735, 0.928424225,
2469.365058916, 0.940791255,
2469.385491296, 0.926717548,
2469.426355754, 0.931013129,
2469.446788133, 0.931349730,
2469.467220411, 0.928000943,
2469.487652589, 0.932313056,
2469.508084966, 0.922443178,
2469.528517242, 0.934385321,
2469.548949418, 0.928474251,
2469.569381794, 0.927748391,
2469.589813969, 0.923851641,
2469.610246343, 0.924512232,
2469.630678617, 0.942461307,
2469.671543164, 0.927141361,
2469.691975436, 0.930703717,
2469.712407708, 0.924584748,
2469.732839980, 0.931539807,
2469.753272251, 0.932240937,
2469.773704521, 0.926339597,
2469.794136791, 0.933743941,
2469.814569061, 0.927996206,
2469.835001330, 0.927318058,
2469.855433698, 0.919711210,
2469.875865866, 0.929987815,
2469.916730501, 0.918918054,
2469.937162667, 0.916057371,
2469.957594933, 0.924589313,
2469.978027299, 0.925158409,
2469.998459464, 0.930729029,
2470.018891828, 0.926547061,
2470.039324092, 0.923846442,
2470.059756256, 0.925076207,
2470.080188618, 0.917071450,
2470.100620881, 0.924908702,
2470.121053043, 0.930620581,
2470.161917666, 0.925498505,
2470.182349926, 0.926294460,
2470.202782186, 0.933436405,
2470.223214446, 0.929080442,
2470.243646705, 0.922161096,
2470.264078963, 0.949494424,
2470.284511221, 0.932026435,
2470.304943378, 0.929557995,
2470.325375735, 0.923615534,
2470.345807992, 0.926574101,
