BJD - 2454833, Corrected Flux
2384.830974723, 1.019668897,
2384.851407044, 1.017503618,
2384.871839264, 1.016741199,
2384.912703704, 1.025566602,
2384.933135923, 1.021490553,
2384.953568242, 1.021806947,
2384.974000361, 1.022161499,
2384.994432578, 1.024300334,
2385.014864895, 1.024967533,
2385.035297112, 1.025842930,
2385.055729229, 1.023903921,
2385.076161545, 1.026021126,
2385.096593761, 1.025489634,
2385.117025976, 1.027534803,
2385.137458190, 1.027785895,
2385.157890405, 1.028019911,
2385.178322618, 1.024494242,
2385.198754832, 1.026455058,
2385.219187044, 1.029801773,
2385.239619257, 1.031961162,
2385.260051469, 1.035833669,
2385.280483680, 1.033159925,
2385.300915891, 1.030168694,
2385.321348102, 1.028290682,
2385.341780412, 1.030242677,
2385.362212522, 1.032857906,
2385.382644731, 1.031849180,
2385.403077040, 1.032431652,
2385.423509148, 1.029289256,
2385.443941356, 1.034677766,
2385.464373663, 1.030683237,
2385.484805771, 1.032580599,
2385.505237977, 1.036428662,
2385.525670283, 1.034146446,
2385.546102389, 1.033072349,
2385.566534694, 1.036975467,
2385.586966899, 1.035789405,
2385.607399103, 1.035178144,
2385.627831307, 1.035417374,
2385.648263511, 1.035509386,
2385.668695714, 1.035256354,
2385.689127916, 1.036345701,
2385.709560118, 1.033466696,
2385.729992320, 1.040564800,
2385.750424621, 1.089931437,
2385.770856722, 1.033513309,
2385.791289022, 1.040179881,
2385.811721222, 1.039240024,
2385.832153321, 1.039004373,
2385.852585620, 1.038426613,
2385.873017819, 1.039492324,
2385.893449917, 1.037494904,
2385.913882214, 1.039963634,
2385.934314411, 1.039951562,
2385.954746508, 1.038013494,
2385.975178804, 1.041145833,
2385.995610900, 1.040119071,
2386.016043096, 1.040151566,
2386.036475391, 1.040880901,
2386.056907485, 1.038730190,
2386.077339779, 1.037729228,
2386.097771973, 1.039732141,
2386.138636359, 1.040233116,
2386.159068551, 1.040595495,
2386.179500743, 1.040331652,
2386.199932934, 1.041492915,
2386.220365125, 1.036200548,
2386.240797316, 1.040184799,
2386.261229606, 1.040185253,
2386.281661696, 1.042927152,
2386.302093885, 1.037951911,
2386.322526173, 1.043688757,
2386.342958262, 1.041503470,
2386.383822737, 1.040333622,
2386.404254824, 1.041228840,
2386.424687110, 1.041188496,
2386.445119296, 1.042539792,
2386.465551382, 1.040003878,
2386.485983667, 1.039947558,
2386.506415852, 1.040041194,
2386.526847936, 1.043341836,
2386.547280220, 1.046978672,
2386.567712404, 1.040119581,
2386.588144586, 1.041128750,
2386.608576769, 1.043580677,
2386.629008951, 1.044019848,
2386.649441233, 1.040448194,
2386.669873314, 1.046273239,
2386.690305495, 1.042328218,
2386.710737675, 1.042451889,
2386.731169855, 1.044088206,
2386.751602035, 1.043020706,
2386.772034214, 1.044685497,
2386.792466392, 1.044769399,
2386.812898571, 1.044261950,
2386.833330848, 1.047125378,
2386.853762925, 1.043808718,
2386.874195102, 1.042424203,
2386.894627379, 1.044218713,
2386.915059455, 1.047817223,
2386.935491630, 1.042350594,
2386.955923905, 1.044809812,
2386.976355980, 1.041894689,
2386.996788254, 1.043597379,
2387.017220428, 1.045172612,
2387.037652502, 1.046527253,
2387.058084774, 1.043220668,
2387.078516947, 1.047431423,
2387.098949119, 1.046994154,
2387.119381290, 1.043475954,
2387.139813462, 1.044841558,
2387.160245632, 1.042565646,
2387.180677802, 1.043158493,
2387.201109972, 1.047484050,
2387.221542142, 1.046794675,
2387.241974411, 1.049624370,
2387.262406479, 1.046848764,
2387.282838647, 1.048190498,
2387.303270915, 1.046118151,
2387.323702982, 1.044961304,
2387.344135249, 1.045943819,
2387.364567415, 1.043343975,
2387.384999481, 1.046158085,
2387.405431747, 1.048165894,
2387.425863812, 1.045560617,
2387.446295976, 1.048624666,
2387.466728241, 1.048010919,
2387.487160305, 1.045210302,
2387.507592468, 1.047650468,
2387.528024731, 1.045232024,
2387.548456793, 1.051337332,
2387.568888955, 1.043999528,
2387.609753278, 1.046784477,
2387.630185439, 1.047037289,
2387.650617699, 1.047242818,
2387.671049859, 1.047562437,
2387.691482019, 1.046991196,
2387.711914177, 1.049100603,
2387.732346336, 1.046159529,
2387.752778594, 1.047254316,
2387.773210652, 1.046495186,
2387.793642809, 1.047819362,
2387.814075066, 1.043772381,
2387.834507122, 1.044764414,
2387.854939278, 1.045891019,
2387.875371534, 1.047255946,
2387.895803589, 1.045728215,
2387.916235744, 1.046191187,
2387.936667998, 1.048515714,
2387.957100052, 1.049788270,
2387.977532205, 1.049319550,
2387.997964458, 1.048487708,
2388.018396511, 1.045640107,
2388.038828763, 1.045683371,
2388.059260915, 1.044703622,
2388.079693065, 1.043493715,
2388.100125216, 1.043607232,
2388.120557367, 1.044818336,
2388.140989517, 1.045682474,
2388.161421667, 1.048660312,
2388.181853816, 1.044464559,
2388.202285864, 1.042949319,
2388.222718113, 1.046836056,
2388.243150260, 1.045583859,
2388.263582308, 1.047865191,
2388.284014555, 1.047222237,
2388.304446701, 1.041765330,
2388.365743138, 1.047717224,
2388.386175383, 1.044743921,
2388.406607428, 1.043054420,
2388.427039571, 1.043317716,
2388.447471815, 1.046786832,
2388.467903858, 1.043921925,
2388.488336001, 1.046674960,
2388.508768243, 1.045186404,
2388.529200285, 1.046406645,
2388.549632426, 1.041479357,
2388.570064667, 1.041744421,
2388.590496808, 1.042567968,
2388.610928848, 1.045197965,
2388.631361088, 1.041206019,
2388.651793227, 1.043873776,
2388.672225266, 1.042988770,
2388.692657505, 1.045250115,
2388.713089642, 1.042451531,
2388.733521680, 1.044845960,
2388.753953917, 1.045276304,
2388.774386054, 1.040263955,
2388.794818290, 1.041460956,
2388.815250326, 1.044649269,
2388.835682462, 1.044347482,
2388.856114697, 1.044166400,
2388.876546731, 1.044833828,
2388.896978866, 1.044368341,
2388.917411000, 1.044153667,
2388.937843133, 1.044227967,
2388.958275266, 1.040596715,
2388.978707398, 1.044454360,
2388.999139530, 1.042065617,
2389.019571662, 1.043473193,
2389.040003794, 1.042577228,
2389.060435924, 1.044922788,
2389.080868055, 1.043263229,
2389.101300285, 1.045462859,
2389.121732315, 1.047051412,
2389.142164544, 1.043180160,
2389.162596672, 1.043947651,
2389.183028701, 1.041814510,
2389.203460929, 1.042897201,
2389.223893056, 1.045713462,
2389.244325083, 1.045541656,
2389.264757310, 1.044224416,
2389.285189436, 1.042633321,
2389.305621462, 1.044264541,
2389.326053687, 1.045695495,
2389.346485812, 1.044962875,
2389.366917837, 1.046359715,
2389.387350061, 1.044616471,
2389.407782184, 1.049128423,
2389.428214308, 1.045944216,
2389.448646431, 1.044543300,
2389.469078553, 1.042222548,
2389.489510675, 1.046795951,
2389.509942797, 1.044513302,
2389.530374918, 1.046414386,
2389.550807139, 1.042904501,
2389.571239259, 1.045219160,
2389.591671279, 1.043641539,
2389.612103499, 1.045840640,
2389.632535517, 1.046328529,
2389.652967636, 1.046963941,
2389.673399854, 1.044187047,
2389.693831872, 1.046444268,
2389.714263990, 1.047112302,
2389.734696207, 1.044978974,
2389.755128224, 1.044849467,
2389.775560340, 1.041627657,
2389.795992556, 1.045426037,
2389.816424571, 1.041906843,
2389.836856686, 1.040550799,
2389.857288900, 1.043271710,
2389.877720914, 1.048100657,
2389.898153128, 1.041710599,
2389.918585242, 1.042989590,
2389.939017354, 1.045075141,
2389.959449467, 1.041355444,
2389.979881579, 1.046741974,
2390.000313690, 1.044863513,
2390.020745802, 1.047132099,
2390.041177912, 1.044591642,
2390.061610023, 1.043845797,
2390.082042133, 1.045017914,
2390.102474243, 1.042861538,
2390.122906352, 1.042782773,
2390.143338560, 1.044704288,
2390.163770569, 1.048487934,
2390.184202677, 1.044623358,
2390.204634884, 1.047060914,
2390.225066891, 1.043127697,
2390.245498998, 1.084533287,
2390.265931204, 1.044131638,
2390.306795415, 1.043963385,
2390.327227521, 1.046089855,
2390.347659525, 1.045093094,
2390.368091730, 1.043064357,
2390.388523833, 1.045167668,
2390.408955837, 1.045478269,
2390.429388040, 1.045706885,
2390.449820042, 1.043691033,
2390.470252145, 1.047027160,
2390.490684346, 1.041141980,
2390.511116448, 1.046532927,
2390.531548449, 1.045195564,
2390.551980649, 1.042871017,
2390.572412749, 1.044678836,
2390.592844749, 1.044930798,
2390.613276948, 1.045647317,
2390.633709047, 1.043890983,
2390.654141046, 1.043501697,
2390.674573243, 1.045354539,
2390.695005341, 1.047579285,
2390.715437538, 1.044781326,
2390.735869535, 1.048728455,
2390.756301632, 1.043726038,
2390.776733828, 1.042032828,
2390.797165823, 1.043330998,
2390.817597918, 1.047566918,
2390.838030113, 1.047619103,
2390.858462108, 1.049041593,
2390.878894202, 1.042322313,
2390.899326395, 1.044970898,
2390.919758389, 1.047275997,
2390.940190481, 1.043565514,
2390.960622674, 1.044261992,
2390.981054766, 1.043739112,
2391.001486757, 1.046107786,
2391.021918948, 1.048883213,
2391.042351039, 1.043890990,
2391.062783129, 1.045143985,
2391.083215219, 1.046565212,
2391.103647309, 1.045842901,
2391.124079398, 1.043406839,
2391.144511486, 1.043549828,
2391.164943475, 1.044471013,
2391.185375663, 1.043834047,
2391.205807750, 1.043363724,
2391.226239738, 1.047113920,
2391.246671924, 1.045686384,
2391.267104011, 1.045678265,
2391.287535996, 1.048656250,
2391.307968182, 1.045147063,
2391.328400267, 1.047672834,
2391.348832352, 1.045059579,
2391.369264436, 1.040147201,
2391.389696520, 1.046689441,
2391.410128603, 1.041197203,
2391.430560686, 1.044501897,
2391.450992769, 1.043734464,
2391.471424951, 1.042740147,
2391.491857033, 1.045215982,
2391.512289015, 1.043496676,
2391.532721196, 1.044551485,
2391.553153276, 1.042963631,
2391.573585257, 1.044246886,
2391.594017436, 1.040036299,
2391.614449516, 1.044208940,
2391.634881495, 1.044208992,
2391.655313674, 1.045427953,
2391.675745752, 1.043554271,
2391.696177730, 1.041645114,
2391.716609907, 1.044768103,
2391.737041984, 1.042823218,
2391.757473961, 1.046133130,
2391.777906137, 1.046377744,
2391.798338213, 1.042419069,
2391.818770388, 1.043821496,
2391.839202363, 1.044833418,
2391.859634438, 1.043395974,
2391.880066512, 1.040130412,
2391.900498586, 1.044987414,
2391.920930660, 1.044546493,
2391.941362733, 1.041240326,
2391.961794806, 1.045797653,
2391.982226878, 1.041487339,
2392.002659049, 1.043971177,
2392.023091021, 1.038220100,
2392.043523092, 1.042404303,
2392.063955263, 1.040263824,
2392.084387233, 1.051622914,
2392.104819303, 1.044088421,
2392.125251473, 1.039673429,
2392.145683442, 1.043294068,
2392.166115510, 1.041234885,
2392.186547678, 1.056062510,
2392.206979646, 1.046357983,
2392.227411814, 1.042859571,
2392.268275848, 1.046506272,
2392.288708014, 1.044103530,
2392.309140080, 1.044091556,
2392.329572145, 1.044325787,
2392.350004211, 1.044635492,
2392.370436275, 1.045434612,
2392.390868340, 1.039277503,
2392.411300404, 1.041501200,
2392.431732467, 1.045159181,
2392.452164530, 1.041871734,
2392.472596693, 1.038409732,
2392.493028656, 1.042123443,
2392.513460718, 1.043178064,
2392.533892879, 1.041835794,
2392.554324840, 1.043413000,
2392.574757001, 1.041468495,
2392.595189062, 1.043707289,
2392.615621022, 1.040939532,
2392.636053181, 1.042733021,
2392.656485140, 1.042746744,
2392.676917199, 1.043217330,
2392.697349358, 1.044601782,
2392.717781316, 1.040334016,
2392.738213374, 1.045828310,
2392.758645531, 1.042632353,
2392.779077488, 1.043852912,
2392.799509544, 1.042223782,
2392.819941700, 1.045419383,
2392.840373756, 1.038103639,
2392.860805711, 1.044183026,
2392.881237866, 1.041662408,
2392.901669920, 1.047436535,
2392.922101875, 1.039645725,
2392.942534029, 1.043655005,
2392.962966082, 1.041684580,
2392.983398235, 1.041976800,
2393.003830187, 1.042890691,
2393.024262239, 1.042332773,
2393.044694392, 1.042079477,
2393.187718643, 1.039994014,
2393.208150692, 1.043209397,
2393.228582840, 1.041282799,
2393.249014788, 1.041651056,
2393.269446836, 1.043547990,
2393.289878983, 1.045208112,
2393.310311029, 1.041577793,
2393.330743076, 1.043267867,
2393.351175122, 1.045119816,
2393.371607068, 1.040967329,
2393.392039213, 1.044173951,
2393.412471257, 1.044197948,
2393.432903202, 1.041937774,
2393.453335346, 1.042119140,
2393.494199333, 1.045006861,
2393.514631476, 1.042269930,
2393.535063518, 1.045994371,
2393.555495461, 1.042001552,
2393.575927602, 1.042448106,
2393.596359643, 1.040935512,
2393.616791584, 1.042702029,
2393.637223725, 1.043496224,
2393.657655765, 1.042220429,
2393.678087805, 1.041994170,
2393.698519844, 1.045348401,
2393.718951884, 1.039963422,
2393.739384022, 1.038868215,
2393.759815960, 1.042127798,
2393.780247999, 1.043519370,
2393.800680136, 1.042082936,
2393.821112173, 1.044436587,
2393.841544110, 1.043211554,
2393.861976246, 1.041710036,
2393.882408282, 1.039217716,
2393.902840218, 1.047131882,
2393.923272353, 1.043243910,
2393.943704388, 1.042257652,
2393.964136323, 1.042312356,
2393.984568457, 1.044213442,
2394.005000490, 1.044478385,
2394.025432424, 1.046482090,
2394.045864556, 1.041006922,
2394.066296589, 1.042859572,
2394.086728521, 1.042085511,
2394.107160653, 1.044923071,
2394.127592584, 1.042788235,
2394.148024715, 1.041949272,
2394.168456746, 1.043329353,
2394.188888776, 1.038940828,
2394.229752836, 1.046486565,
2394.250184865, 1.042339711,
2394.270616894, 1.042843526,
2394.291048922, 1.042814897,
2394.311480950, 1.040341426,
2394.331913077, 1.042402940,
2394.352345005, 1.041404606,
2394.372777032, 1.040991173,
2394.393209158, 1.041575443,
